cell_id,phase,trajectory_mode,effect_size,statistic,alpha,n_rejecting,n_non_rejecting,mean_observed_rejecting,mean_observed_non_rejecting,mean_critical_rejecting,mean_critical_non_rejecting,inverted
power_primary-b454e41ba106,power_primary,magnitude,1.0,delta,0.05,100,0,26.76409322311047,,2.192498655849213,,
power_primary-b454e41ba106,power_primary,magnitude,1.0,angle,0.05,0,100,,21.84027676732239,,76.06622315302154,
power_primary-b454e41ba106,power_primary,magnitude,1.0,shape,0.05,0,100,,0.023194150356257957,,0.03900917092819934,
type_i_baseline-5c0f9fe8a4ad,type_i_baseline,none,,delta,0.05,4,96,1.103835070261205,0.3613197265530068,0.8610436744184294,0.8720120829669952,False
type_i_baseline-5c0f9fe8a4ad,type_i_baseline,none,,angle,0.05,5,95,22.77597916908757,17.238833628388726,19.148167943301605,41.578380891115025,False
type_i_baseline-5c0f9fe8a4ad,type_i_baseline,none,,shape,0.05,1,99,0.020869941920977592,0.010022595399590878,0.01848158492153917,0.016475427299086437,False
power_primary-e233c34ae1ca,power_primary,orientation,1.0,delta,0.05,65,35,3.0688730332683543,0.5465843890760153,1.0251706394030566,1.0476302381862475,False
power_primary-e233c34ae1ca,power_primary,orientation,1.0,angle,0.05,68,32,46.469441916318054,60.81376713371029,15.79877713393793,103.61312258404732,True
power_primary-e233c34ae1ca,power_primary,orientation,1.0,shape,0.05,99,1,0.07054459026384641,0.010259390592366541,0.023342415374485555,0.02658143708859861,False
power_primary-ebe229f72db1,power_primary,translation,1.0,delta,0.05,7,93,0.8593262682398343,0.3403074484704015,0.6881369384150237,0.8505247978007143,False
power_primary-ebe229f72db1,power_primary,translation,1.0,angle,0.05,3,97,17.377503652866952,11.779740943182375,15.605119223863234,33.57050735653293,False
power_primary-ebe229f72db1,power_primary,translation,1.0,shape,0.05,4,96,0.019638844036475527,0.009507932648066583,0.015707750811265284,0.015476299385924616,False
type_i_baseline-82750f50d4bc,type_i_baseline,translation,1.0,delta,0.05,6,94,1.118530538574736,0.3193450620083909,0.889423585634853,0.8562657719522767,False
type_i_baseline-82750f50d4bc,type_i_baseline,translation,1.0,angle,0.05,4,96,6.916776270728691,14.040725520023907,5.818569930583,35.31424983235158,True
type_i_baseline-82750f50d4bc,type_i_baseline,translation,1.0,shape,0.05,9,91,0.016790078568059485,0.009759028516899209,0.014669082915853525,0.01616868339672394,False
