mode,forced_components,n_replicates,observed_shape_mean,observed_shape_sd,rejection_rate,pooled_eigengap_mean,population_shape_mean,excess_over_population
none,3,100,0.010759198198118644,0.005319896396506485,0.1,0.04385171552167668,1.1799317242236785e-15,0.010759198198117464
none,4,100,0.006804035258468642,0.0024440456476881854,0.0,0.04356574206280014,1.1799317242236785e-15,0.006804035258467463
none,6,100,0.0066359501116740405,0.002370277207453402,0.0,0.04355490624948697,1.1799317242236785e-15,0.006635950111672861
none,9,100,0.006538551521134803,0.002350120001314572,0.0,0.043554312767367744,1.1799317242236785e-15,0.006538551521133623
none,12,100,0.00651188210379424,0.0023377080358644407,0.0,0.04355362015963797,1.1799317242236785e-15,0.00651188210379306
orientation,3,100,0.06941210196415026,0.024464338109500685,0.97,0.043883561699197944,0.04240492401787806,0.027007177946272207
orientation,4,100,0.05412319935158405,0.018639244889415856,1.0,0.04290716875898455,0.04240492401787806,0.011718275333705994
orientation,6,100,0.019462025454019562,0.006985050353258967,0.36,0.04281736121115226,0.04240492401787806,-0.022942898563858494
orientation,9,100,0.013493891318676919,0.005086356678210352,0.08,0.04277308870400123,0.04240492401787806,-0.028911032699201138
orientation,12,100,0.013598000015539211,0.005104985412914751,0.09,0.04276900003712174,0.04240492401787806,-0.028806924002338846
