trajectory_mode,effect_size,cell_id,phase,configuration,n_replicates,n_recorded,n_available,mean_eigengap,sd_eigengap,q25_eigengap,median_eigengap,q75_eigengap,min_eigengap,max_eigengap
magnitude,1.0,power_primary-b454e41ba106,power_primary,A,100,100,100,0.04727495719046252,0.02880923020424729,0.02766188238011831,0.041150401047366725,0.06277487002102004,0.000741354619817225,0.1671815371137545
magnitude,1.0,power_primary-b454e41ba106,power_primary,B,100,100,100,0.0401401706505332,0.02508301181108962,0.02275495506485549,0.03555429849893893,0.05261905532913269,0.002952401023268436,0.1575689937581395
magnitude,1.0,power_primary-b454e41ba106,power_primary,pooled,100,100,100,0.042237186012241634,0.02606892680859708,0.02317736754921458,0.04064685085489464,0.054194132308966525,0.0027724259621079717,0.16116843240051443
none,,type_i_baseline-5c0f9fe8a4ad,type_i_baseline,A,100,100,100,0.0458392117290656,0.02680385430708044,0.024822385628197746,0.04096532322600363,0.062283066230416975,0.005421425358594745,0.12651487093828945
none,,type_i_baseline-5c0f9fe8a4ad,type_i_baseline,B,100,100,100,0.045036349648487004,0.026303429286352747,0.025720284480062944,0.04003457157849277,0.06338729474245725,0.00404223080689925,0.1230587311288523
none,,type_i_baseline-5c0f9fe8a4ad,type_i_baseline,pooled,100,100,100,0.0450481276292728,0.026551748866007373,0.026551982563790794,0.04088530856898301,0.06510202917557917,0.0021918381798535225,0.12476062694169615
orientation,1.0,power_primary-e233c34ae1ca,power_primary,A,100,100,100,0.04774571239229168,0.029132142117979716,0.029212330018703117,0.04196525398212153,0.06050147681517816,0.002239698338485363,0.15114126880705714
orientation,1.0,power_primary-e233c34ae1ca,power_primary,B,100,100,100,0.0614067317721835,0.03429867044984031,0.03620688927294022,0.05846126346976657,0.08016751735368684,0.0034340922459339396,0.18881513315673654
orientation,1.0,power_primary-e233c34ae1ca,power_primary,pooled,100,100,100,0.0475347387645245,0.023524595124595107,0.032398331258450666,0.0443971425107203,0.058830118307622734,0.0056752422214007,0.11727371741726439
translation,1.0,power_primary-ebe229f72db1,power_primary,A,100,100,100,0.04432571693452227,0.022880661054766778,0.028495673827954218,0.03927221333825717,0.06039229737146966,0.007942122691429965,0.10845632981523834
translation,1.0,power_primary-ebe229f72db1,power_primary,B,100,100,100,0.042308462742302176,0.02364981708374595,0.02238383894283881,0.040271861918969754,0.05548257185288247,0.0068748330229334575,0.11677992596543274
translation,1.0,power_primary-ebe229f72db1,power_primary,pooled,100,100,100,0.043074551722603494,0.023041172474172967,0.024614461917883926,0.04039128236006767,0.055164441240826756,0.007968129816674774,0.11257179853377786
translation,1.0,type_i_baseline-82750f50d4bc,type_i_baseline,A,100,100,100,0.05326212840407836,0.028412656235264934,0.03126196097063133,0.05399926902719379,0.06824177156331886,0.004745825794358838,0.15896841331733447
translation,1.0,type_i_baseline-82750f50d4bc,type_i_baseline,B,100,100,100,0.05344285206074396,0.029161783363467295,0.03053890139765353,0.05242086108081184,0.07349481821531426,0.003193023944701834,0.17543160916335349
translation,1.0,type_i_baseline-82750f50d4bc,type_i_baseline,pooled,100,100,100,0.0531825077653572,0.028428487914564954,0.03131744130550111,0.053663886766381036,0.06974233957713129,0.0029940298265920817,0.16704330279383806
