cell_id,phase,trajectory_mode,effect_size,statistic,null_target,n_replicates,correlation,correlation_ci_low,correlation_ci_high,slope,mean_observed,mean_null_target
power_primary-b454e41ba106,power_primary,magnitude,1.0,delta,mean,100,0.6035941140880408,0.46194242070454145,0.7152182326875097,0.016602404625053812,26.764093223110475,0.9111895315120435
power_primary-b454e41ba106,power_primary,magnitude,1.0,delta,sd,100,0.3602662127407326,0.17632537425714917,0.5198950920886268,0.007064998085288861,26.764093223110475,0.6695180020686844
power_primary-b454e41ba106,power_primary,magnitude,1.0,delta,q95,100,0.42818010631529885,0.25304354007433444,0.5761432352080125,0.029784237241313457,26.764093223110475,2.1924986558492208
power_primary-b454e41ba106,power_primary,magnitude,1.0,angle,mean,100,0.5683106882632069,0.41862187146670915,0.6879368161706686,0.3766079871853981,21.840276767322447,27.96986018560243
power_primary-b454e41ba106,power_primary,magnitude,1.0,angle,sd,100,0.513111926170398,0.3521889925009321,0.6445676311600016,0.328870117881723,21.840276767322447,25.566002602487146
power_primary-b454e41ba106,power_primary,magnitude,1.0,angle,q95,100,0.4732281220063007,0.30517631927498134,0.6126958105935182,0.8739868894271947,21.840276767322447,76.06622315302144
power_primary-b454e41ba106,power_primary,magnitude,1.0,shape,mean,100,0.0596690634200452,-0.13837077148201649,0.2531205862850132,0.009691608015947054,0.023194150356257895,0.0248583033817649
power_primary-b454e41ba106,power_primary,magnitude,1.0,shape,sd,100,-0.11569968667324793,-0.30518237775183904,0.08259545523874309,-0.01187087972939134,0.023194150356257895,0.008196145877194362
power_primary-b454e41ba106,power_primary,magnitude,1.0,shape,q95,100,-0.0008966666251213215,-0.19728003903683883,0.19555589266791337,-0.0002948166028281294,0.023194150356257895,0.03900917092819938
type_i_baseline-5c0f9fe8a4ad,type_i_baseline,none,,delta,mean,100,0.44293816476165654,0.27001132403754863,0.5881836677726732,0.1464699328249538,0.3910203403013435,0.3620470394616238
type_i_baseline-5c0f9fe8a4ad,type_i_baseline,none,,delta,sd,100,0.4061994440705153,0.2279698879913309,0.5580903612320159,0.09562664663535426,0.3910203403013435,0.27143235175233144
type_i_baseline-5c0f9fe8a4ad,type_i_baseline,none,,delta,q95,100,0.4337322152611812,0.2594143492954511,0.5806804975346272,0.33944537466386937,0.3910203403013435,0.8715733466250579
type_i_baseline-5c0f9fe8a4ad,type_i_baseline,none,,angle,mean,100,0.7835225824953861,0.6938932731464268,0.8492437581206388,0.41669426200179654,17.515690905423593,15.282147529779502
type_i_baseline-5c0f9fe8a4ad,type_i_baseline,none,,angle,sd,100,0.6720229306159683,0.5479302207841004,0.7671757794115501,0.4096905886099705,17.515690905423593,15.824447717424887
type_i_baseline-5c0f9fe8a4ad,type_i_baseline,none,,angle,q95,100,0.6340265479184903,0.499857882253498,0.7384787327396775,0.9305182068356047,17.515690905423593,40.456870243724126
type_i_baseline-5c0f9fe8a4ad,type_i_baseline,none,,shape,mean,100,0.5934048951296353,0.449362427522273,0.7073746287103839,0.2746885231057543,0.01013106886480485,0.010188237894583068
type_i_baseline-5c0f9fe8a4ad,type_i_baseline,none,,shape,sd,100,0.5455023363094498,0.39097593847501655,0.6701194699949874,0.10749735412870562,0.01013106886480485,0.0036135156855281393
type_i_baseline-5c0f9fe8a4ad,type_i_baseline,none,,shape,q95,100,0.5598897101279448,0.40838242132103875,0.681375294804024,0.4492793870818107,0.01013106886480485,0.01649548887531095
power_primary-e233c34ae1ca,power_primary,orientation,1.0,delta,mean,100,0.1478430815451713,-0.05002779630491944,0.33454628952343185,0.006777862742680563,2.186072007801039,0.4271575952354963
