cell_id,phase,trajectory_mode,effect_size,statistic,alpha,n_rejecting,n_non_rejecting,mean_observed_rejecting,mean_observed_non_rejecting,mean_critical_rejecting,mean_critical_non_rejecting,inverted
power_primary-b454e41ba106,power_primary,magnitude,1.0,delta,0.05,100,0,26.764093223110475,,2.1924986558492208,,
power_primary-b454e41ba106,power_primary,magnitude,1.0,angle,0.05,0,100,,21.840276767322447,,76.06622315302144,
power_primary-b454e41ba106,power_primary,magnitude,1.0,shape,0.05,0,100,,0.023194150356257895,,0.03900917092819938,
type_i_baseline-5c0f9fe8a4ad,type_i_baseline,none,,delta,0.05,4,96,1.1038350702611766,0.3613197265530172,0.8610436744184317,0.8720120829670005,False
type_i_baseline-5c0f9fe8a4ad,type_i_baseline,none,,angle,0.05,5,95,22.775979169087503,17.238833628388655,19.148167943301146,41.57838089111481,False
type_i_baseline-5c0f9fe8a4ad,type_i_baseline,none,,shape,0.05,1,99,0.020869941920976815,0.010022595399590991,0.01848158492153864,0.016475427299086434,False
power_primary-e233c34ae1ca,power_primary,orientation,1.0,delta,0.05,65,35,3.0688730332683627,0.5465843890760098,1.0251706394030706,1.047630238186274,False
power_primary-e233c34ae1ca,power_primary,orientation,1.0,angle,0.05,68,32,46.46944191631819,60.8137671337109,15.798777133938017,103.6131225840482,True
power_primary-e233c34ae1ca,power_primary,orientation,1.0,shape,0.05,99,1,0.07054459026384635,0.010259390592365494,0.023342415374485403,0.026581437088598812,False
power_primary-ebe229f72db1,power_primary,translation,1.0,delta,0.05,7,93,0.8593262682398242,0.34030744847040917,0.6881369384150472,0.8505247978007219,False
power_primary-ebe229f72db1,power_primary,translation,1.0,angle,0.05,3,97,17.377503652866736,11.779740943182295,15.605119223862909,33.570507356532836,False
power_primary-ebe229f72db1,power_primary,translation,1.0,shape,0.05,4,96,0.01963884403647526,0.009507932648066557,0.015707750811265086,0.015476299385924534,False
type_i_baseline-82750f50d4bc,type_i_baseline,translation,1.0,delta,0.05,6,94,1.1185305385747835,0.31934506200838586,0.8894235856348605,0.8562657719522716,False
type_i_baseline-82750f50d4bc,type_i_baseline,translation,1.0,angle,0.05,4,96,6.916776270728731,14.040725520023765,5.818569930583067,35.31424983235141,True
type_i_baseline-82750f50d4bc,type_i_baseline,translation,1.0,shape,0.05,9,91,0.016790078568059776,0.009759028516899157,0.014669082915853275,0.016168683396724007,False
