trajectory_mode,effect_size,checkpoint,measurement_space,scope,is_joint,statistic,median,mean,sd,n_available,anchor_median,excess_over_anchor
magnitude,0.25,observed_standardized,standardized_feature,expression,False,angle,7.906912773358627,13.228874724647632,25.721041957504934,500,8.112924233106117,-0.20601145974749002
magnitude,0.5,observed_standardized,standardized_feature,expression,False,angle,7.906912773358696,13.228874724647621,25.72104195750493,500,8.112924233106117,-0.20601145974742074
magnitude,0.75,observed_standardized,standardized_feature,expression,False,angle,7.906912773358696,13.22887472464763,25.721041957504934,500,8.112924233106117,-0.20601145974742074
magnitude,1.0,observed_standardized,standardized_feature,expression,False,angle,7.90691277335865,13.228874724647632,25.721041957504937,500,8.112924233106117,-0.20601145974746693
magnitude,0.25,observed_standardized,standardized_feature,methylation,False,angle,11.18670789802848,18.62293205933892,28.58714835671656,500,11.114333163465878,0.07237473456260268
magnitude,0.5,observed_standardized,standardized_feature,methylation,False,angle,11.408564256702434,20.70880065713983,32.77838140330585,500,11.114333163465878,0.29423109323655616
magnitude,0.75,observed_standardized,standardized_feature,methylation,False,angle,11.943525943150306,21.533090108823203,32.90955922389332,500,11.114333163465878,0.8291927796844281
magnitude,1.0,observed_standardized,standardized_feature,methylation,False,angle,12.667783462834034,22.228793508946517,32.30526438454012,500,11.114333163465878,1.5534502993681567
magnitude,0.25,observed_standardized,standardized_feature,proteomics,False,angle,6.240787271987031,8.74427702033995,18.640124171975977,500,6.188758532951998,0.052028739035033134
magnitude,0.5,observed_standardized,standardized_feature,proteomics,False,angle,6.240787271987003,8.744277020339958,18.64012417197597,500,6.188758532951998,0.05202873903500471
magnitude,0.75,observed_standardized,standardized_feature,proteomics,False,angle,6.240787271987003,8.744277020339943,18.640124171975938,500,6.188758532951998,0.05202873903500471
magnitude,1.0,observed_standardized,standardized_feature,proteomics,False,angle,6.240787271987031,8.744277020339949,18.64012417197598,500,6.188758532951998,0.052028739035033134
magnitude,0.25,observed_standardized,standardized_feature,joint,True,angle,10.69599277189277,15.546472834497127,24.70483049683889,500,8.325599841915379,2.370392929977392
magnitude,0.5,observed_standardized,standardized_feature,joint,True,angle,14.78393206171846,21.324941669113397,27.2309162083814,500,8.325599841915379,6.458332219803081
magnitude,0.75,observed_standardized,standardized_feature,joint,True,angle,18.614090074756167,27.42358327512149,30.58710773097341,500,8.325599841915379,10.288490232840788
magnitude,1.0,observed_standardized,standardized_feature,joint,True,angle,21.96023135774786,32.50634599201588,32.46940307704059,500,8.325599841915379,13.63463151583248
magnitude,0.25,pls_latent,pls_latent,joint,True,angle,3.303052860732833,8.936855909424994,27.078235512362443,500,2.3008054443894794,1.0022474163433537
magnitude,0.5,pls_latent,pls_latent,joint,True,angle,4.739598417906739,11.678544088302077,28.45201782353903,500,2.3008054443894794,2.43879297351726
magnitude,0.75,pls_latent,pls_latent,joint,True,angle,6.262524567912817,16.06276540998735,33.896716296562296,500,2.3008054443894794,3.9617191235233378
magnitude,1.0,pls_latent,pls_latent,joint,True,angle,7.587342221470898,20.248441033218707,38.71456482167895,500,2.3008054443894794,5.286536777081419
magnitude,0.25,population_native,native_omic_units,expression,False,angle,0.0,6.91382398500305e-07,8.547272356597721e-07,500,0.0,0.0
magnitude,0.5,population_native,native_omic_units,expression,False,angle,0.0,6.766558713735963e-07,8.407865725346697e-07,500,0.0,0.0
magnitude,0.75,population_native,native_omic_units,expression,False,angle,0.0,7.144820547860413e-07,8.697412253938455e-07,500,0.0,0.0
