trajectory_mode,checkpoint,statistic,top_effect_size,max_block_response,joint_response,joint_only
magnitude,observed_standardized,angle,1.0,1.5534502993681567,13.63463151583248,False
magnitude,observed_standardized,delta,1.0,29.887967333152275,19.283948873052488,False
magnitude,observed_standardized,shape,1.0,0.0003941927632880489,0.016963889173213648,False
magnitude,pls_latent,angle,1.0,,5.286536777081419,False
magnitude,pls_latent,delta,1.0,,19.4954439169632,False
magnitude,pls_latent,shape,1.0,,0.017534651460817348,False
magnitude,population_native,angle,1.0,0.0,,False
magnitude,population_native,delta,1.0,48.61219576003766,,False
magnitude,population_native,shape,1.0,1.3742192887740618e-17,,False
magnitude,population_standardized,angle,1.0,0.0,20.329313411733686,True
magnitude,population_standardized,delta,1.0,30.32995266724869,19.503802636410803,False
magnitude,population_standardized,shape,1.0,8.39975121527902e-18,0.022583188850765653,True
orientation,observed_standardized,angle,1.0,83.9107656150951,81.72306219767295,False
orientation,observed_standardized,delta,1.0,2.0895608009846214,1.8516988056633252,False
orientation,observed_standardized,shape,1.0,0.10164658437410204,0.05319628342089579,False
orientation,pls_latent,angle,1.0,,60.77780068530191,False
orientation,pls_latent,delta,1.0,,2.6065287780199924,False
orientation,pls_latent,shape,1.0,,0.10531521392169117,False
orientation,population_native,angle,1.0,90.22161267422501,,False
orientation,population_native,delta,1.0,1.747286767147724,,False
orientation,population_native,shape,1.0,0.100768719046333,,False
orientation,population_standardized,angle,1.0,90.08163396893653,89.92869060149475,False
orientation,population_standardized,delta,1.0,2.198741466016248,2.0059340212792236,False
orientation,population_standardized,shape,1.0,0.10831128808088346,0.059030294596419834,False
shape,observed_standardized,angle,1.0,72.68199023085054,71.416928090895,False
shape,observed_standardized,delta,1.0,2.451051992568143,3.5500356532603092,False
shape,observed_standardized,shape,1.0,0.07140298202290514,0.055757320973569356,False
shape,pls_latent,angle,1.0,,14.819005684898695,False
shape,pls_latent,delta,1.0,,4.153781770347816,False
shape,pls_latent,shape,1.0,,0.08230964503017434,False
shape,population_native,angle,1.0,68.40644606701738,,False
shape,population_native,delta,1.0,1.7034717244100577,,False
shape,population_native,shape,1.0,0.07464809291574709,,False
shape,population_standardized,angle,1.0,79.36357482686489,79.71562274086008,False
shape,population_standardized,delta,1.0,2.5740573378564164,3.7463094380207806,False
shape,population_standardized,shape,1.0,0.07784976882216114,0.0614231132787017,False
