trajectory_mode,effect_size,statistic,first_material_checkpoint,classification,materiality_threshold,normalized_value,normalized_null,normalized_excess,measurement_space,materiality_rule,materiality_basis,null_dispersion,excess_in_dispersion_units
magnitude,0.25,angle,population_standardized,construction_present,0.05,0.06419651980537329,3.860111312426262e-09,0.06419651594526198,standardized_feature,absolute,,,
magnitude,0.5,angle,population_standardized,construction_present,0.05,0.11039487172985472,3.860111312426262e-09,0.11039486786974341,standardized_feature,absolute,,,
magnitude,0.75,angle,population_standardized,construction_present,0.05,0.14842702748980957,3.860111312426262e-09,0.14842702362969826,standardized_feature,absolute,,,
magnitude,1.0,angle,population_standardized,construction_present,0.05,0.17564978425439903,3.860111312426262e-09,0.17564978039428772,standardized_feature,absolute,,,
magnitude,0.25,shape,,not_material,0.05,,,,,absolute,,,
magnitude,0.5,shape,,not_material,0.05,,,,,absolute,,,
magnitude,0.75,shape,,not_material,0.05,,,,,absolute,,,
magnitude,1.0,shape,,not_material,0.05,,,,,absolute,,,
orientation,0.25,delta,,not_material,0.05,,,,,absolute,,,
orientation,0.5,delta,,not_material,0.05,,,,,absolute,,,
orientation,0.75,delta,,not_material,0.05,,,,,absolute,,,
orientation,1.0,delta,pls_latent,projection_associated,0.05,0.06008751499106098,0.0025974014221222834,0.0574901135689387,pls_latent,absolute,,,
orientation,0.25,shape,,not_material,0.05,,,,,absolute,,,
orientation,0.5,shape,population_standardized,construction_present,0.05,0.05195424768333349,1.128768299287522e-15,0.05195424768333236,standardized_feature,absolute,,,
orientation,0.75,shape,population_standardized,construction_present,0.05,0.056835897928511306,1.128768299287522e-15,0.056835897928510175,standardized_feature,absolute,,,
orientation,1.0,shape,population_standardized,construction_present,0.05,0.05887649906529364,1.128768299287522e-15,0.058876499065292506,standardized_feature,absolute,,,
shape,0.25,angle,population_standardized,construction_present,0.05,0.23035465428625893,3.860111312426262e-09,0.2303546504261476,standardized_feature,absolute,,,
shape,0.5,angle,population_standardized,construction_present,0.05,0.3435011886032865,3.860111312426262e-09,0.3435011847431752,standardized_feature,absolute,,,
shape,0.75,angle,population_standardized,construction_present,0.05,0.40605304554339355,3.860111312426262e-09,0.40605304168328227,standardized_feature,absolute,,,
shape,1.0,angle,population_standardized,construction_present,0.05,0.45121142881504267,3.860111312426262e-09,0.4512114249549314,standardized_feature,absolute,,,
shape,0.25,delta,,not_material,0.05,,,,,absolute,,,
shape,0.5,delta,,not_material,0.05,,,,,absolute,,,
shape,0.75,delta,,not_material,0.05,,,,,absolute,,,
shape,1.0,delta,population_standardized,construction_present,0.05,0.05251789424170892,0.0,0.05251789424170892,standardized_feature,absolute,,,
translation,0.25,angle,,not_material,0.05,,,,,absolute,,,
translation,0.5,angle,,not_material,0.05,,,,,absolute,,,
translation,0.75,angle,,not_material,0.05,,,,,absolute,,,
translation,1.0,angle,,not_material,0.05,,,,,absolute,,,
translation,0.25,shape,,not_material,0.05,,,,,absolute,,,
translation,0.5,shape,,not_material,0.05,,,,,absolute,,,
translation,0.75,shape,,not_material,0.05,,,,,absolute,,,
translation,1.0,shape,,not_material,0.05,,,,,absolute,,,
magnitude,0.25,angle,population_standardized,construction_present,3.0,0.06419651980537329,3.860111312426262e-09,0.06419651594526198,standardized_feature,null_dispersion,degenerate_null_dust_floor,4.822589157492842e-09,
magnitude,0.5,angle,population_standardized,construction_present,3.0,0.11039487172985472,3.860111312426262e-09,0.11039486786974341,standardized_feature,null_dispersion,degenerate_null_dust_floor,4.822589157492842e-09,
magnitude,0.75,angle,population_standardized,construction_present,3.0,0.14842702748980957,3.860111312426262e-09,0.14842702362969826,standardized_feature,null_dispersion,degenerate_null_dust_floor,4.822589157492842e-09,
magnitude,1.0,angle,population_standardized,construction_present,3.0,0.17564978425439903,3.860111312426262e-09,0.17564978039428772,standardized_feature,null_dispersion,degenerate_null_dust_floor,4.822589157492842e-09,
magnitude,0.25,shape,population_standardized,construction_present,3.0,0.007679311946253425,1.128768299287522e-15,0.007679311946252296,standardized_feature,null_dispersion,degenerate_null_dust_floor,3.308333355998887e-16,
magnitude,0.5,shape,population_standardized,construction_present,3.0,0.01382747055318677,1.128768299287522e-15,0.013827470553185641,standardized_feature,null_dispersion,degenerate_null_dust_floor,3.308333355998887e-16,
magnitude,0.75,shape,population_standardized,construction_present,3.0,0.018791448428150965,1.128768299287522e-15,0.018791448428149837,standardized_feature,null_dispersion,degenerate_null_dust_floor,3.308333355998887e-16,
magnitude,1.0,shape,population_standardized,construction_present,3.0,0.02283591098842787,1.128768299287522e-15,0.022835910988426744,standardized_feature,null_dispersion,degenerate_null_dust_floor,3.308333355998887e-16,
orientation,0.25,delta,population_standardized,construction_present,3.0,0.021684430432513044,0.0,0.021684430432513044,standardized_feature,null_dispersion,degenerate_null_dust_floor,0.0,
orientation,0.5,delta,population_standardized,construction_present,3.0,0.027480132196487983,0.0,0.027480132196487983,standardized_feature,null_dispersion,degenerate_null_dust_floor,0.0,
orientation,0.75,delta,population_standardized,construction_present,3.0,0.030767826050575934,0.0,0.030767826050575934,standardized_feature,null_dispersion,degenerate_null_dust_floor,0.0,
orientation,1.0,delta,population_standardized,construction_present,3.0,0.03147550018958801,0.0,0.03147550018958801,standardized_feature,null_dispersion,degenerate_null_dust_floor,0.0,
orientation,0.25,shape,population_standardized,construction_present,3.0,0.0420281517781203,1.128768299287522e-15,0.042028151778119166,standardized_feature,null_dispersion,degenerate_null_dust_floor,3.308333355998887e-16,
orientation,0.5,shape,population_standardized,construction_present,3.0,0.05195424768333349,1.128768299287522e-15,0.05195424768333236,standardized_feature,null_dispersion,degenerate_null_dust_floor,3.308333355998887e-16,
orientation,0.75,shape,population_standardized,construction_present,3.0,0.056835897928511306,1.128768299287522e-15,0.056835897928510175,standardized_feature,null_dispersion,degenerate_null_dust_floor,3.308333355998887e-16,
orientation,1.0,shape,population_standardized,construction_present,3.0,0.05887649906529364,1.128768299287522e-15,0.058876499065292506,standardized_feature,null_dispersion,degenerate_null_dust_floor,3.308333355998887e-16,
shape,0.25,angle,population_standardized,construction_present,3.0,0.23035465428625893,3.860111312426262e-09,0.2303546504261476,standardized_feature,null_dispersion,degenerate_null_dust_floor,4.822589157492842e-09,
shape,0.5,angle,population_standardized,construction_present,3.0,0.3435011886032865,3.860111312426262e-09,0.3435011847431752,standardized_feature,null_dispersion,degenerate_null_dust_floor,4.822589157492842e-09,
shape,0.75,angle,population_standardized,construction_present,3.0,0.40605304554339355,3.860111312426262e-09,0.40605304168328227,standardized_feature,null_dispersion,degenerate_null_dust_floor,4.822589157492842e-09,
shape,1.0,angle,population_standardized,construction_present,3.0,0.45121142881504267,3.860111312426262e-09,0.4512114249549314,standardized_feature,null_dispersion,degenerate_null_dust_floor,4.822589157492842e-09,
shape,0.25,delta,population_standardized,construction_present,3.0,0.020551860599284037,0.0,0.020551860599284037,standardized_feature,null_dispersion,degenerate_null_dust_floor,0.0,
shape,0.5,delta,population_standardized,construction_present,3.0,0.03157978959891746,0.0,0.03157978959891746,standardized_feature,null_dispersion,degenerate_null_dust_floor,0.0,
shape,0.75,delta,population_standardized,construction_present,3.0,0.04167244574753395,0.0,0.04167244574753395,standardized_feature,null_dispersion,degenerate_null_dust_floor,0.0,
shape,1.0,delta,population_standardized,construction_present,3.0,0.05251789424170892,0.0,0.05251789424170892,standardized_feature,null_dispersion,degenerate_null_dust_floor,0.0,
translation,0.25,angle,,not_material,3.0,,,,,null_dispersion,,,
translation,0.5,angle,,not_material,3.0,,,,,null_dispersion,,,
translation,0.75,angle,,not_material,3.0,,,,,null_dispersion,,,
translation,1.0,angle,,not_material,3.0,,,,,null_dispersion,,,
translation,0.25,shape,,not_material,3.0,,,,,null_dispersion,,,
translation,0.5,shape,,not_material,3.0,,,,,null_dispersion,,,
translation,0.75,shape,,not_material,3.0,,,,,null_dispersion,,,
translation,1.0,shape,,not_material,3.0,,,,,null_dispersion,,,
