n_stages,construction,effect_size,joint_delta,joint_angle,joint_shape,max_block_angle,max_block_shape
4,production,0.0,0.0,0.0,1.0077117800267631e-15,0.0,2.8537633233651136e-15
4,uniform_probe,0.0,0.0,0.0,1.0077117800267631e-15,0.0,2.8537633233651136e-15
4,production,0.25,5.945597642017091,6.289808301463464,0.01095173469505803,0.0,2.8537633233651136e-15
4,uniform_probe,0.25,14.962254905745965,8.537736462515939e-07,9.55783130305104e-16,8.537736462515939e-07,4.352449942587285e-15
4,production,0.5,10.919562044754485,11.369116313307517,0.019774982461237645,0.0,2.8537633233651136e-15
4,uniform_probe,0.5,27.121246376930927,0.0,1.0247217382219435e-15,8.537736462515939e-07,4.671803174773644e-15
4,production,0.75,14.937448443420152,15.503461310795256,0.02696346842295282,0.0,2.8537633233651136e-15
4,uniform_probe,0.75,36.90676016313324,0.0,1.019661022572612e-15,1.7075472925031877e-06,8.778594572366889e-16
4,production,1.0,18.136041537910515,18.90968330442059,0.03287894410792335,0.0,2.8537633233651136e-15
4,uniform_probe,1.0,44.797983313515815,2.561320938754782e-06,9.995491189301697e-16,1.4787793334710982e-06,9.173343601744194e-16
2,production,0.0,0.0,0.0,,1.2074182697257333e-06,0.0
2,uniform_probe,0.0,0.0,0.0,,1.2074182697257333e-06,0.0
2,production,0.25,1.8713445978920156,6.306765333339757,,1.2074182697257333e-06,0.0
2,uniform_probe,0.25,4.416788999217754,0.0,,8.537736462515939e-07,0.0
2,production,0.5,3.3787367029974256,11.390601787245515,,1.2074182697257333e-06,0.0
2,uniform_probe,0.5,7.9427073271608535,0.0,,0.0,0.0
2,production,0.75,4.542160665307232,15.56741856138719,,1.2074182697257333e-06,0.0
2,uniform_probe,0.75,10.718871039738069,0.0,,0.0,0.0
2,production,1.0,5.424981181500915,19.046962106139052,,1.2074182697257333e-06,0.0
2,uniform_probe,1.0,12.907238939273366,1.2074182697257333e-06,,1.2074182697257333e-06,0.0
