trajectory_mode,effect_size,cell_id,transition_id,component,eligible_replicates,computed_replicates,failed_replicates,availability_rate,retention_cosine_mean,retention_norm_ratio_mean,residual_fraction_mean,precision_mean,recall_mean,selected_count_mean,bootstrap_sign_stability_mean,bootstrap_top_k_frequency_mean,top_k_jaccard,sign_agreement
orientation,0.25,power_primary-b5971fca9258,0->1,observed,100,100,0,1.0,0.05783499088678846,0.05228667892001556,0.9979277381978272,1.0,0.1590869199343985,20.0,0.8063167173252278,0.03039513677811546,0.0323955424710655,0.6920283446940503
orientation,0.25,power_primary-b5971fca9258,0->1,pls_captured,100,100,0,1.0,,,,0.012000000000000002,0.0018863152636032026,20.0,0.9261770516717323,0.03039513677811546,0.032641316585870606,0.6883282040695885
orientation,0.25,power_primary-b5971fca9258,0->1,residual,100,100,0,1.0,,,,1.0,0.1590869199343985,20.0,0.8135454407294831,0.03039513677811546,0.03243672142583861,0.6860402810173969
orientation,0.25,power_primary-b5971fca9258,1->2,observed,100,100,0,1.0,0.0555224550889656,0.0493248192931299,0.9981675485314395,1.0,0.16469328716263953,20.0,0.8087437689969609,0.03039513677811546,0.03250402791730895,0.6925306334133964
orientation,0.25,power_primary-b5971fca9258,1->2,pls_captured,100,100,0,1.0,,,,0.0105,0.00186497133902538,20.0,0.9303273556231002,0.03039513677811546,0.03254397958919966,0.7036711415010526
orientation,0.25,power_primary-b5971fca9258,1->2,residual,100,100,0,1.0,,,,1.0,0.16469328716263953,20.0,0.8142875379939213,0.03039513677811546,0.03241292334266933,0.6942230468859484
orientation,0.25,power_primary-b5971fca9258,2->3,observed,100,100,0,1.0,0.0535461492357674,0.04779574419855037,0.9982067235729578,1.0,0.1669191949942933,20.0,0.8015401215805477,0.03039513677811546,0.03258360476439095,0.7052029023936456
orientation,0.25,power_primary-b5971fca9258,2->3,pls_captured,100,100,0,1.0,,,,0.011500000000000002,0.0017441397922945006,20.0,0.9239065349544071,0.03039513677811546,0.032767244430158535,0.6690906470183722
orientation,0.25,power_primary-b5971fca9258,2->3,residual,100,100,0,1.0,,,,1.0,0.1669191949942933,20.0,0.8071525835866262,0.03039513677811546,0.03231299601315548,0.7018159783321151
orientation,0.5,power_primary-26e57b9905c7,0->1,observed,100,100,0,1.0,0.06434417896704396,0.052946311767537314,0.9974218333111544,1.0,0.08565071558686041,20.0,0.8464974164133733,0.03039513677811546,0.042311775040455614,0.6742110653986999
