trajectory_mode,effect_size,cell_id,phase,checkpoint,scope,measurement_space,statistic,n_replicates,n_available,n_unavailable,mean,sd,median
none,0.0,power_primary-fa0b0d3f6cda,power_primary,population_native,expression,native_omic_units,angle,100,100,0,7.092459242407174e-07,8.708111011144767e-07,0.0
none,0.0,power_primary-fa0b0d3f6cda,power_primary,population_native,expression,native_omic_units,delta,100,100,0,0.0,0.0,0.0
none,0.0,power_primary-fa0b0d3f6cda,power_primary,population_native,expression,native_omic_units,path_length[A],100,100,0,44.50296170753463,1.4629041188467085,44.47395051852209
none,0.0,power_primary-fa0b0d3f6cda,power_primary,population_native,expression,native_omic_units,path_length[B],100,100,0,44.50296170753463,1.4629041188467085,44.47395051852209
none,0.0,power_primary-fa0b0d3f6cda,power_primary,population_native,expression,native_omic_units,shape,100,100,0,1.5252364284969756e-15,2.1643198542747402e-16,1.4896885903681732e-15
none,0.0,power_primary-fa0b0d3f6cda,power_primary,population_native,methylation,native_omic_units,angle,100,100,0,6.692578014244729e-07,8.561544230085932e-07,0.0
none,0.0,power_primary-fa0b0d3f6cda,power_primary,population_native,methylation,native_omic_units,delta,100,100,0,0.0,0.0,0.0
none,0.0,power_primary-fa0b0d3f6cda,power_primary,population_native,methylation,native_omic_units,path_length[A],100,100,0,65.1451050099554,1.9068914151799745,65.12416590912433
none,0.0,power_primary-fa0b0d3f6cda,power_primary,population_native,methylation,native_omic_units,path_length[B],100,100,0,65.1451050099554,1.9068914151799745,65.12416590912433
none,0.0,power_primary-fa0b0d3f6cda,power_primary,population_native,methylation,native_omic_units,shape,100,100,0,2.1464873020971086e-15,4.5713923662392e-16,2.0922101330827202e-15
none,0.0,power_primary-fa0b0d3f6cda,power_primary,population_native,proteomics,native_omic_units,angle,100,100,0,5.970063482451982e-07,8.145119009441357e-07,0.0
none,0.0,power_primary-fa0b0d3f6cda,power_primary,population_native,proteomics,native_omic_units,delta,100,100,0,0.0,0.0,0.0
none,0.0,power_primary-fa0b0d3f6cda,power_primary,population_native,proteomics,native_omic_units,path_length[A],100,100,0,49.43995775674261,1.8001531846878354,49.242355296257536
none,0.0,power_primary-fa0b0d3f6cda,power_primary,population_native,proteomics,native_omic_units,path_length[B],100,100,0,49.43995775674261,1.8001531846878354,49.242355296257536
none,0.0,power_primary-fa0b0d3f6cda,power_primary,population_native,proteomics,native_omic_units,shape,100,100,0,1.7275988250192197e-15,2.8022685592865504e-16,1.6808300062978104e-15
none,0.0,power_primary-fa0b0d3f6cda,power_primary,population_standardized,expression,standardized_feature,angle,100,100,0,7.185976944011304e-07,9.168109064555019e-07,0.0
none,0.0,power_primary-fa0b0d3f6cda,power_primary,population_standardized,expression,standardized_feature,delta,100,100,0,0.0,0.0,0.0
none,0.0,power_primary-fa0b0d3f6cda,power_primary,population_standardized,expression,standardized_feature,path_length[A],100,100,0,38.47977730517176,1.2659828327559708,38.445940578096085
none,0.0,power_primary-fa0b0d3f6cda,power_primary,population_standardized,expression,standardized_feature,path_length[B],100,100,0,38.47977730517176,1.2659828327559708,38.445940578096085
none,0.0,power_primary-fa0b0d3f6cda,power_primary,population_standardized,expression,standardized_feature,shape,100,100,0,1.1105588235753222e-15,4.582058171510228e-16,1.0169175954967899e-15
none,0.0,power_primary-fa0b0d3f6cda,power_primary,population_standardized,joint,standardized_feature,angle,100,100,0,7.220057981195338e-07,8.812942356955485e-07,0.0
none,0.0,power_primary-fa0b0d3f6cda,power_primary,population_standardized,joint,standardized_feature,delta,100,100,0,0.0,0.0,0.0
none,0.0,power_primary-fa0b0d3f6cda,power_primary,population_standardized,joint,standardized_feature,path_length[A],100,100,0,84.1439762297021,2.311169785977499,84.14916503580531
