trajectory_mode,effect_size,statistic,first_material_checkpoint,classification,materiality_threshold,normalized_value,normalized_null,normalized_excess,measurement_space
orientation,0.25,delta,,not_material,0.05,,,,
orientation,0.5,delta,,not_material,0.05,,,,
orientation,0.75,delta,,not_material,0.05,,,,
orientation,1.0,delta,,not_material,0.05,,,,
orientation,0.25,shape,,not_material,0.05,,,,
orientation,0.5,shape,,not_material,0.05,,,,
orientation,0.75,shape,pls_latent,projection_associated,0.05,0.06958331603741136,0.010131068864804754,0.0594522471726066,pls_latent
orientation,1.0,shape,pls_latent,projection_associated,0.05,0.06994173826713163,0.010131068864804754,0.05981066940232687,pls_latent
shape,0.25,angle,population_standardized,construction_present,0.05,0.2989370170274712,3.449260296450682e-09,0.2989370135782109,standardized_feature
shape,0.5,angle,population_standardized,construction_present,0.05,0.38445280775606416,3.449260296450682e-09,0.38445280430680384,standardized_feature
shape,0.75,angle,population_standardized,construction_present,0.05,0.4575051005085369,3.449260296450682e-09,0.45750509705927656,standardized_feature
shape,1.0,angle,population_standardized,construction_present,0.05,0.48420653185692886,3.449260296450682e-09,0.48420652840766853,standardized_feature
shape,0.25,delta,,not_material,0.05,,,,
shape,0.5,delta,population_standardized,construction_present,0.05,0.055810404042291414,0.0,0.055810404042291414,standardized_feature
shape,0.75,delta,population_standardized,construction_present,0.05,0.07916596051333569,0.0,0.07916596051333569,standardized_feature
shape,1.0,delta,population_standardized,construction_present,0.05,0.09861909565236368,0.0,0.09861909565236368,standardized_feature
translation,0.25,angle,,not_material,0.05,,,,
translation,0.5,angle,,not_material,0.05,,,,
translation,0.75,angle,,not_material,0.05,,,,
translation,1.0,angle,,not_material,0.05,,,,
translation,0.25,shape,,not_material,0.05,,,,
translation,0.5,shape,,not_material,0.05,,,,
translation,0.75,shape,,not_material,0.05,,,,
translation,1.0,shape,,not_material,0.05,,,,
