trajectory_mode,effect_size,statistic,first_material_checkpoint,classification,materiality_threshold,normalized_value,normalized_null,normalized_excess,measurement_space
magnitude,0.25,angle,population_standardized,construction_present,0.05,0.08607498339351945,3.637435658778458e-09,0.08607497975608379,standardized_feature
magnitude,0.5,angle,population_standardized,construction_present,0.05,0.13805574110819657,3.637435658778458e-09,0.13805573747076091,standardized_feature
magnitude,0.75,angle,population_standardized,construction_present,0.05,0.1794255857031366,3.637435658778458e-09,0.17942558206570094,standardized_feature
magnitude,1.0,angle,population_standardized,construction_present,0.05,0.22174213985131971,3.637435658778458e-09,0.22174213621388406,standardized_feature
magnitude,0.25,shape,,not_material,0.05,,,,
magnitude,0.5,shape,,not_material,0.05,,,,
magnitude,0.75,shape,,not_material,0.05,,,,
magnitude,1.0,shape,,not_material,0.05,,,,
orientation,0.25,delta,,not_material,0.05,,,,
orientation,0.5,delta,,not_material,0.05,,,,
orientation,0.75,delta,,not_material,0.05,,,,
orientation,1.0,delta,,not_material,0.05,,,,
orientation,0.25,shape,,not_material,0.05,,,,
orientation,0.5,shape,,not_material,0.05,,,,
orientation,0.75,shape,pls_latent,projection_associated,0.05,0.06958331603741134,0.010131068864804743,0.0594522471726066,pls_latent
orientation,1.0,shape,pls_latent,projection_associated,0.05,0.06994173826713163,0.010131068864804743,0.059810669402326884,pls_latent
shape,0.25,angle,population_standardized,construction_present,0.05,0.32570050080207824,3.637435658778458e-09,0.32570049716464256,standardized_feature
shape,0.5,angle,population_standardized,construction_present,0.05,0.4283784631675109,3.637435658778458e-09,0.4283784595300752,standardized_feature
shape,0.75,angle,population_standardized,construction_present,0.05,0.4514046299071087,3.637435658778458e-09,0.45140462626967304,standardized_feature
shape,1.0,angle,population_standardized,construction_present,0.05,0.4722815357376497,3.637435658778458e-09,0.472281532100214,standardized_feature
shape,0.25,delta,,not_material,0.05,,,,
shape,0.5,delta,population_standardized,construction_present,0.05,0.055810404042291394,0.0,0.055810404042291394,standardized_feature
shape,0.75,delta,population_standardized,construction_present,0.05,0.07916596051333566,0.0,0.07916596051333566,standardized_feature
shape,1.0,delta,population_standardized,construction_present,0.05,0.0986190956523637,0.0,0.0986190956523637,standardized_feature
translation,0.25,angle,,not_material,0.05,,,,
translation,0.5,angle,,not_material,0.05,,,,
translation,0.75,angle,,not_material,0.05,,,,
translation,1.0,angle,,not_material,0.05,,,,
translation,0.25,shape,,not_material,0.05,,,,
translation,0.5,shape,,not_material,0.05,,,,
translation,0.75,shape,,not_material,0.05,,,,
translation,1.0,shape,,not_material,0.05,,,,
