trajectory_mode,statistic,effect_size,cell_id,phase,rejection_rate,monte_carlo_se,available_replicates,completed_replicates
magnitude,angle,0.25,power_primary-4788df693b86,power_primary,0.04,0.019595917942265423,100,100
magnitude,angle,0.5,power_primary-cdd9c329edeb,power_primary,0.03,0.01705872210923198,100,100
magnitude,angle,0.75,power_primary-7b3cef20ae15,power_primary,0.01,0.0099498743710662,100,100
magnitude,angle,1.0,power_primary-b454e41ba106,power_primary,0.01,0.0099498743710662,100,100
magnitude,delta,0.25,power_primary-4788df693b86,power_primary,1.0,0.0,100,100
magnitude,delta,0.5,power_primary-cdd9c329edeb,power_primary,1.0,0.0,100,100
magnitude,delta,0.75,power_primary-7b3cef20ae15,power_primary,1.0,0.0,100,100
magnitude,delta,1.0,power_primary-b454e41ba106,power_primary,1.0,0.0,100,100
magnitude,shape,0.25,power_primary-4788df693b86,power_primary,0.04,0.019595917942265423,100,100
magnitude,shape,0.5,power_primary-cdd9c329edeb,power_primary,0.01,0.0099498743710662,100,100
magnitude,shape,0.75,power_primary-7b3cef20ae15,power_primary,0.0,0.0,100,100
magnitude,shape,1.0,power_primary-b454e41ba106,power_primary,0.0,0.0,100,100
none,angle,0.0,power_primary-76efbc65d01b,power_primary,0.04,0.019595917942265423,100,100
none,delta,0.0,power_primary-76efbc65d01b,power_primary,0.08,0.027129319932501072,100,100
none,shape,0.0,power_primary-76efbc65d01b,power_primary,0.03,0.01705872210923198,100,100
orientation,angle,0.25,power_primary-b5971fca9258,power_primary,0.59,0.04918333050943175,100,100
orientation,angle,0.5,power_primary-26e57b9905c7,power_primary,0.59,0.04918333050943175,100,100
orientation,angle,0.75,power_primary-ea21ea382a34,power_primary,0.64,0.048,100,100
orientation,angle,1.0,power_primary-ecebec8fe9ee,power_primary,0.65,0.047696960070847276,100,100
orientation,delta,0.25,power_primary-b5971fca9258,power_primary,0.6,0.04898979485566356,100,100
orientation,delta,0.5,power_primary-26e57b9905c7,power_primary,0.69,0.04624932431938871,100,100
orientation,delta,0.75,power_primary-ea21ea382a34,power_primary,0.67,0.04702127178203499,100,100
orientation,delta,1.0,power_primary-ecebec8fe9ee,power_primary,0.65,0.047696960070847276,100,100
orientation,shape,0.25,power_primary-b5971fca9258,power_primary,0.97,0.017058722109231986,100,100
orientation,shape,0.5,power_primary-26e57b9905c7,power_primary,1.0,0.0,100,100
orientation,shape,0.75,power_primary-ea21ea382a34,power_primary,0.99,0.009949874371066205,100,100
orientation,shape,1.0,power_primary-ecebec8fe9ee,power_primary,0.99,0.009949874371066205,100,100
shape,angle,0.25,power_primary-4d6db70004dd,power_primary,0.51,0.04998999899979995,100,100
shape,angle,0.5,power_primary-5f8932f663b2,power_primary,0.69,0.04624932431938871,100,100
shape,angle,0.75,power_primary-08397bda5e63,power_primary,0.77,0.042083250825001625,100,100
shape,angle,1.0,power_primary-2f296d687f03,power_primary,0.83,0.037563279941985904,100,100
shape,delta,0.25,power_primary-4d6db70004dd,power_primary,0.8,0.04,100,100
shape,delta,0.5,power_primary-5f8932f663b2,power_primary,0.97,0.017058722109231986,100,100
shape,delta,0.75,power_primary-08397bda5e63,power_primary,1.0,0.0,100,100
shape,delta,1.0,power_primary-2f296d687f03,power_primary,1.0,0.0,100,100
shape,shape,0.25,power_primary-4d6db70004dd,power_primary,0.94,0.023748684174075843,100,100
shape,shape,0.5,power_primary-5f8932f663b2,power_primary,1.0,0.0,100,100
shape,shape,0.75,power_primary-08397bda5e63,power_primary,1.0,0.0,100,100
shape,shape,1.0,power_primary-2f296d687f03,power_primary,1.0,0.0,100,100
translation,angle,0.25,power_primary-60645449887c,power_primary,0.03,0.01705872210923198,100,100
translation,angle,0.5,power_primary-b2ece987408c,power_primary,0.07,0.02551470164434615,100,100
translation,angle,0.75,power_primary-356f35b04b73,power_primary,0.05,0.021794494717703367,100,100
translation,angle,1.0,power_primary-ebe229f72db1,power_primary,0.05,0.021794494717703367,100,100
translation,angle,1.0,type_i_baseline-82750f50d4bc,type_i_baseline,0.04,0.019595917942265423,100,100
translation,delta,0.25,power_primary-60645449887c,power_primary,0.03,0.01705872210923198,100,100
translation,delta,0.5,power_primary-b2ece987408c,power_primary,0.08,0.027129319932501072,100,100
translation,delta,0.75,power_primary-356f35b04b73,power_primary,0.07,0.02551470164434615,100,100
translation,delta,1.0,power_primary-ebe229f72db1,power_primary,0.07,0.02551470164434615,100,100
translation,delta,1.0,type_i_baseline-82750f50d4bc,type_i_baseline,0.06,0.023748684174075833,100,100
translation,shape,0.25,power_primary-60645449887c,power_primary,0.06,0.023748684174075833,100,100
translation,shape,0.5,power_primary-b2ece987408c,power_primary,0.07,0.02551470164434615,100,100
translation,shape,0.75,power_primary-356f35b04b73,power_primary,0.04,0.019595917942265423,100,100
translation,shape,1.0,power_primary-ebe229f72db1,power_primary,0.04,0.019595917942265423,100,100
translation,shape,1.0,type_i_baseline-82750f50d4bc,type_i_baseline,0.09,0.02861817604250837,100,100
