target_name,target_kind,met,rationale,obs_cell_id,obs_phase,obs_trajectory_mode,obs_statistic,obs_alpha_target,obs_se_tolerance,obs_rejection_rate,obs_monte_carlo_se,obs_available_replicates,obs_deviation,obs_bound,obs_min_power_at_top,obs_points,obs_monotone,obs_top_rate,obs_effect_size
"type_i_control[type_i_baseline-c9b8da02420a,delta]",type_i_control,True,|rate - alpha| = 0.0000 <= 2.00·SE (0.0195),type_i_baseline-c9b8da02420a,type_i_baseline,,delta,0.05,2.0,0.05,0.009746794344808964,500.0,0.0,0.019493588689617928,,,,,
"type_i_control[type_i_baseline-c9b8da02420a,angle]",type_i_control,True,|rate - alpha| = 0.0100 <= 2.00·SE (0.0175),type_i_baseline-c9b8da02420a,type_i_baseline,,angle,0.05,2.0,0.04,0.008763560920082658,500.0,0.010000000000000002,0.017527121840165315,,,,,
"type_i_control[type_i_baseline-c9b8da02420a,shape]",type_i_control,True,|rate - alpha| = 0.0040 <= 2.00·SE (0.0202),type_i_baseline-c9b8da02420a,type_i_baseline,,shape,0.05,2.0,0.054,0.010107818755794942,500.0,0.003999999999999997,0.020215637511589883,,,,,
"type_i_control[type_i_baseline-d18f474778c9,delta]",type_i_control,True,|rate - alpha| = 0.0060 <= 2.00·SE (0.0183),type_i_baseline-d18f474778c9,type_i_baseline,translation,delta,0.05,2.0,0.044,0.009172131704244111,500.0,0.006000000000000005,0.018344263408488222,,,,,
"type_i_control[type_i_baseline-d18f474778c9,angle]",type_i_control,True,|rate - alpha| = 0.0020 <= 2.00·SE (0.0191),type_i_baseline-d18f474778c9,type_i_baseline,translation,angle,0.05,2.0,0.048,0.009559916317625379,500.0,0.0020000000000000018,0.019119832635250758,,,,,
"type_i_control[type_i_baseline-d18f474778c9,shape]",type_i_control,True,|rate - alpha| = 0.0120 <= 2.00·SE (0.0216),type_i_baseline-d18f474778c9,type_i_baseline,translation,shape,0.05,2.0,0.062,0.010784804124322332,500.0,0.011999999999999997,0.021569608248644664,,,,,
"power[magnitude,delta]",power_monotonicity,True,monotone=True; top_rate=1.000 >= floor=0.800,,,magnitude,delta,,,,,,,,0.8,"[{'effect_size': 0.25, 'rate': 1.0, 'se': 0.0}, {'effect_size': 0.5, 'rate': 1.0, 'se': 0.0}, {'effect_size': 0.75, 'rate': 1.0, 'se': 0.0}, {'effect_size': 1.0, 'rate': 1.0, 'se': 0.0}]",True,1.0,
"power[orientation,angle]",power_monotonicity,False,monotone=False; top_rate=0.840 >= floor=0.800,,,orientation,angle,,,,,,,,0.8,"[{'effect_size': 0.25, 'rate': 0.842, 'se': 0.016311713582576173}, {'effect_size': 0.5, 'rate': 0.878, 'se': 0.014636666287102402}, {'effect_size': 0.75, 'rate': 0.872, 'se': 0.014940950438308804}, {'effect_size': 1.0, 'rate': 0.84, 'se': 0.01639512122553536}]",False,0.84,
"power[shape,shape]",power_monotonicity,True,monotone=True; top_rate=0.996 >= floor=0.800,,,shape,shape,,,,,,,,0.8,"[{'effect_size': 0.25, 'rate': 0.954, 'se': 0.009368457717255283}, {'effect_size': 0.5, 'rate': 0.988, 'se': 0.004869496893930627}, {'effect_size': 0.75, 'rate': 0.994, 'se': 0.0034536936748935927}, {'effect_size': 1.0, 'rate': 0.996, 'se': 0.002822764602300377}]",True,0.996,
"specificity[translation,delta]",specificity,True,|rate - alpha| = 0.0060 <= 2.00·SE (0.0183),type_i_baseline-d18f474778c9,,translation,delta,0.05,2.0,0.044,0.009172131704244111,500.0,0.006000000000000005,0.018344263408488222,,,,,1.0
"specificity[translation,angle]",specificity,True,|rate - alpha| = 0.0020 <= 2.00·SE (0.0191),type_i_baseline-d18f474778c9,,translation,angle,0.05,2.0,0.048,0.009559916317625379,500.0,0.0020000000000000018,0.019119832635250758,,,,,1.0
"specificity[translation,shape]",specificity,True,|rate - alpha| = 0.0120 <= 2.00·SE (0.0216),type_i_baseline-d18f474778c9,,translation,shape,0.05,2.0,0.062,0.010784804124322332,500.0,0.011999999999999997,0.021569608248644664,,,,,1.0
"specificity[magnitude,angle]",specificity,False,|rate - alpha| = 0.2260 > 2.00·SE (0.0400),power_primary-6459c57fb4f3,,magnitude,angle,0.05,2.0,0.276,0.01999119806314769,500.0,0.22600000000000003,0.03998239612629538,,,,,1.0
"specificity[magnitude,shape]",specificity,False,|rate - alpha| = 0.6920 > 2.00·SE (0.0391),power_primary-6459c57fb4f3,,magnitude,shape,0.05,2.0,0.742,0.019567115270269147,500.0,0.692,0.039134230540538294,,,,,1.0
