trajectory_mode,effect_size,cell_id,phase,configuration,n_replicates,n_recorded,n_available,mean_eigengap,sd_eigengap,q25_eigengap,median_eigengap,q75_eigengap,min_eigengap,max_eigengap
magnitude,0.25,power_primary-cfb3246b2bad,power_primary,A,500,500,500,0.06071141801516984,0.033001985645452425,0.035984393698418105,0.05515668525398623,0.08124049900632928,0.0022953603480678764,0.18517890593088454
magnitude,0.25,power_primary-cfb3246b2bad,power_primary,B,500,500,500,0.057836808018852257,0.0319872123492074,0.03427583118916058,0.050439399075594804,0.07730283162018894,0.002994136501152822,0.18280601424967807
magnitude,0.25,power_primary-cfb3246b2bad,power_primary,pooled,500,500,500,0.059113296265695864,0.03234798869491176,0.03517018244741375,0.05215054557535867,0.07954356122468413,0.002647309740602566,0.18382890524225515
magnitude,0.5,power_primary-a232c2e1578d,power_primary,A,500,500,500,0.06187110235848221,0.033460575637642404,0.03632908312118695,0.056250207077110426,0.08203309883158218,0.000741101505186692,0.18626359540292936
magnitude,0.5,power_primary-a232c2e1578d,power_primary,B,500,500,500,0.05649630929949692,0.03142561438747655,0.03444342301876198,0.049521371964251604,0.07457122060245071,0.0038509460231151427,0.18109197670342864
magnitude,0.5,power_primary-a232c2e1578d,power_primary,pooled,500,500,500,0.05872835527035501,0.03208870619849222,0.034981199195709606,0.05188893518342616,0.07856554832533465,0.0018451321557997336,0.1835334383298719
magnitude,0.75,power_primary-3b941f099b80,power_primary,A,500,500,500,0.0632306012680798,0.034106259282095326,0.0365275561461364,0.057246544517456255,0.08404380366798851,0.0014918052315778252,0.18732303779464776
magnitude,0.75,power_primary-3b941f099b80,power_primary,B,500,500,500,0.05564867593236625,0.031156719679574757,0.033813215990544876,0.04851886084409221,0.07362046667808597,0.004690118285947453,0.18026192989809575
magnitude,0.75,power_primary-3b941f099b80,power_primary,pooled,500,500,500,0.05860107618227767,0.03201368667600822,0.034882839028121226,0.05153842365783315,0.07828833661728209,0.001326213296488521,0.18352006987414643
magnitude,1.0,power_primary-6459c57fb4f3,power_primary,A,500,500,500,0.06449675099223655,0.03466935118144625,0.03795796048596259,0.058674307821938054,0.08532990136137603,0.0032041351275964858,0.1925882022189616
magnitude,1.0,power_primary-6459c57fb4f3,power_primary,B,500,500,500,0.05492963098590669,0.030892627150804673,0.033600839944117944,0.04761074708371249,0.07227073881568973,0.003600454393175523,0.17986813278295583
magnitude,1.0,power_primary-6459c57fb4f3,power_primary,pooled,500,500,500,0.058460253379297784,0.031875468206863954,0.034812305985050335,0.05155247857983464,0.07729317111292217,0.0008162626841061726,0.18367143202466124
none,0.0,power_primary-d74045b65506,power_primary,A,500,500,500,0.059585470128463776,0.032556601289205005,0.03569425176301877,0.053309391502733505,0.0801436947508402,0.002913752678259496,0.18419379165298683
