trajectory_mode,effect_size,cell_id,phase,statistic,stratum,n_strata,eigengap_low,eigengap_high,mean_eigengap,n_replicates,n_available,n_rejected,rejection_rate,monte_carlo_se,status
orientation,0.25,power_primary-c54af648857f,power_primary,angle,0,3,0.003993035415763069,0.04203560136669965,0.027865907080296237,167,167,130,0.7784431137724551,0.03213644492117717,ok
orientation,0.25,power_primary-c54af648857f,power_primary,angle,1,3,0.04241714259460144,0.06717261308115274,0.054127494840192775,167,167,144,0.8622754491017964,0.026666772589645237,ok
orientation,0.25,power_primary-c54af648857f,power_primary,angle,2,3,0.06731662215384393,0.19412872992222135,0.09559876351879423,166,166,147,0.8855421686746988,0.024710033591276003,ok
orientation,0.25,power_primary-c54af648857f,power_primary,delta,0,3,0.003993035415763069,0.04203560136669965,0.027865907080296237,167,167,143,0.8562874251497006,0.02714556796901583,ok
orientation,0.25,power_primary-c54af648857f,power_primary,delta,1,3,0.04241714259460144,0.06717261308115274,0.054127494840192775,167,167,131,0.7844311377245509,0.031820880416721896,ok
orientation,0.25,power_primary-c54af648857f,power_primary,delta,2,3,0.06731662215384393,0.19412872992222135,0.09559876351879423,166,166,128,0.7710843373493976,0.03260878753281805,ok
orientation,0.25,power_primary-c54af648857f,power_primary,shape,0,3,0.003993035415763069,0.04203560136669965,0.027865907080296237,167,167,167,1.0,0.0,ok
orientation,0.25,power_primary-c54af648857f,power_primary,shape,1,3,0.04241714259460144,0.06717261308115274,0.054127494840192775,167,167,167,1.0,0.0,ok
orientation,0.25,power_primary-c54af648857f,power_primary,shape,2,3,0.06731662215384393,0.19412872992222135,0.09559876351879423,166,166,166,1.0,0.0,ok
orientation,0.5,power_primary-5e2c6d914647,power_primary,angle,0,3,0.005782853625620088,0.03920884757825538,0.024486760416519288,167,167,137,0.8203592814371258,0.02970613868263035,ok
orientation,0.5,power_primary-5e2c6d914647,power_primary,angle,1,3,0.039320113981681226,0.068351432421139,0.05427593753814419,167,167,147,0.8802395209580839,0.025124588559990065,ok
orientation,0.5,power_primary-5e2c6d914647,power_primary,angle,2,3,0.06867598960825305,0.21229782903968542,0.09634927658609142,166,166,155,0.9337349397590361,0.01930634486383576,ok
orientation,0.5,power_primary-5e2c6d914647,power_primary,delta,0,3,0.005782853625620088,0.03920884757825538,0.024486760416519288,167,167,142,0.8502994011976048,0.027608287560794455,ok
orientation,0.5,power_primary-5e2c6d914647,power_primary,delta,1,3,0.039320113981681226,0.068351432421139,0.05427593753814419,167,167,147,0.8802395209580839,0.025124588559990065,ok
orientation,0.5,power_primary-5e2c6d914647,power_primary,delta,2,3,0.06867598960825305,0.21229782903968542,0.09634927658609142,166,166,150,0.9036144578313253,0.02290569580208956,ok
orientation,0.5,power_primary-5e2c6d914647,power_primary,shape,0,3,0.005782853625620088,0.03920884757825538,0.024486760416519288,167,167,167,1.0,0.0,ok
orientation,0.5,power_primary-5e2c6d914647,power_primary,shape,1,3,0.039320113981681226,0.068351432421139,0.05427593753814419,167,167,167,1.0,0.0,ok
orientation,0.5,power_primary-5e2c6d914647,power_primary,shape,2,3,0.06867598960825305,0.21229782903968542,0.09634927658609142,166,166,166,1.0,0.0,ok
orientation,0.75,power_primary-1ed275cc35f0,power_primary,angle,0,3,0.002606606479231832,0.03792385551294103,0.024503024983094385,167,167,131,0.7844311377245509,0.031820880416721896,ok
orientation,0.75,power_primary-1ed275cc35f0,power_primary,angle,1,3,0.03802155491259218,0.06530484574001727,0.052071280759027394,167,167,154,0.9221556886227545,0.020732770000097274,ok
