trajectory_mode,effect_size,cell_id,transition_id,component,eligible_replicates,computed_replicates,failed_replicates,availability_rate,retention_cosine_mean,retention_norm_ratio_mean,residual_fraction_mean,precision_mean,recall_mean,selected_count_mean,bootstrap_sign_stability_mean,bootstrap_top_k_frequency_mean,top_k_jaccard,sign_agreement
orientation,0.25,power_primary-c54af648857f,0->1,observed,500,500,0,1.0,0.06576773207544631,0.05935896439159015,0.9973453754978584,1.0,0.26209879932372904,20.0,0.7878909118541038,0.030395136778115873,0.034907113533091984,0.6199687689930635
orientation,0.25,power_primary-c54af648857f,0->1,pls_captured,500,500,0,1.0,,,,0.030900000000000028,0.007728385570711036,20.0,0.9560301215805471,0.030395136778115873,0.030706555446814877,0.628886153359251
orientation,0.25,power_primary-c54af648857f,0->1,residual,500,500,0,1.0,,,,1.0,0.26209879932372904,20.0,0.8024424316109421,0.030395136778115873,0.03465767527324919,0.6129828432974057
orientation,0.25,power_primary-c54af648857f,1->2,observed,500,500,0,1.0,0.06458967776060454,0.05757859282955877,0.9974098034964993,1.0,0.255101440333635,20.0,0.7930085106382989,0.030395136778115873,0.0361485849481792,0.6141234140963556
orientation,0.25,power_primary-c54af648857f,1->2,pls_captured,500,500,0,1.0,,,,0.032000000000000015,0.007848823133820439,20.0,0.9540007294832832,0.030395136778115873,0.03069135265702661,0.6387057523547518
orientation,0.25,power_primary-c54af648857f,1->2,residual,500,500,0,1.0,,,,1.0,0.255101440333635,20.0,0.8061984194528878,0.030395136778115873,0.035800066963572935,0.6168292406224996
orientation,0.25,power_primary-c54af648857f,2->3,observed,500,500,0,1.0,0.06377316814574345,0.05797772880053444,0.9974173354239649,1.0,0.26041821887477534,20.0,0.7898525531914894,0.030395136778115873,0.03601977224248762,0.6274295248591777
orientation,0.25,power_primary-c54af648857f,2->3,pls_captured,500,500,0,1.0,,,,0.025599999999999998,0.006544089319346508,20.0,0.9552699999999993,0.030395136778115873,0.030687278990592093,0.6274497211609034
orientation,0.25,power_primary-c54af648857f,2->3,residual,500,500,0,1.0,,,,1.0,0.26041821887477534,20.0,0.8046095744680852,0.030395136778115873,0.03574664655057461,0.626419595035324
orientation,0.5,power_primary-5e2c6d914647,0->1,observed,500,500,0,1.0,0.07180508690113088,0.06117145830674291,0.9967504311695897,1.0,0.133463350030547,20.0,0.816684893617021,0.030395136778115873,0.05769636377870725,0.6102553276169028
orientation,0.5,power_primary-5e2c6d914647,0->1,pls_captured,500,500,0,1.0,,,,0.07909999999999996,0.01025707457685527,20.0,0.9633420668693015,0.030395136778115873,0.025830630056345585,0.6213448246120118
orientation,0.5,power_primary-5e2c6d914647,0->1,residual,500,500,0,1.0,,,,1.0,0.133463350030547,20.0,0.8362713981762921,0.030395136778115873,0.05557547522259726,0.6152135665420895
