rule,kind,trajectory_mode,statistic,cell_id,effect_size,met,detail,obs_cell_id,obs_phase,obs_trajectory_mode,obs_statistic,obs_effect_size,obs_alpha,obs_se_tolerance,obs_rejection_rate,obs_monte_carlo_se,obs_available_replicates,obs_bound,obs_exceedance,obs_exceedance_in_se,obs_min_power_at_top,obs_monotonicity_se_tolerance,obs_points,obs_top_effect_size,obs_top_rate,obs_reversals,obs_records,obs_completed,obs_failed,obs_expected_units,obs_pls_records,obs_missing_integration_metadata,obs_missing_realized_geometry,obs_attribution_eligible,obs_attribution_incomplete
"type_i_inflation[power_primary-8d1d54882ad0,delta]",type_i_inflation,translation,delta,power_primary-8d1d54882ad0,0.75,True,"rate=0.0400 <= bound=0.0695 (alpha=0.05 + 2·SE, n=500)",power_primary-8d1d54882ad0,power_primary,translation,delta,0.75,0.05,2.0,0.04,0.008763560920082658,500.0,0.06949358868961793,-0.029493588689617926,-3.365479963975619,,,,,,,,,,,,,,,
"type_i_inflation[power_primary-8d1d54882ad0,angle]",type_i_inflation,translation,angle,power_primary-8d1d54882ad0,0.75,True,"rate=0.0500 <= bound=0.0695 (alpha=0.05 + 2·SE, n=500)",power_primary-8d1d54882ad0,power_primary,translation,angle,0.75,0.05,2.0,0.05,0.009746794344808964,500.0,0.06949358868961793,-0.019493588689617924,-1.9999999999999996,,,,,,,,,,,,,,,
"type_i_inflation[power_primary-8d1d54882ad0,shape]",type_i_inflation,translation,shape,power_primary-8d1d54882ad0,0.75,True,"rate=0.0440 <= bound=0.0695 (alpha=0.05 + 2·SE, n=500)",power_primary-8d1d54882ad0,power_primary,translation,shape,0.75,0.05,2.0,0.044,0.009172131704244111,500.0,0.06949358868961793,-0.02549358868961793,-2.779461690222087,,,,,,,,,,,,,,,
"type_i_inflation[power_primary-94ae5b6e309e,delta]",type_i_inflation,translation,delta,power_primary-94ae5b6e309e,1.0,True,"rate=0.0420 <= bound=0.0695 (alpha=0.05 + 2·SE, n=500)",power_primary-94ae5b6e309e,power_primary,translation,delta,1.0,0.05,2.0,0.042,0.008970618707759236,500.0,0.06949358868961793,-0.027493588689617925,-3.064848655961382,,,,,,,,,,,,,,,
"type_i_inflation[power_primary-94ae5b6e309e,angle]",type_i_inflation,translation,angle,power_primary-94ae5b6e309e,1.0,True,"rate=0.0420 <= bound=0.0695 (alpha=0.05 + 2·SE, n=500)",power_primary-94ae5b6e309e,power_primary,translation,angle,1.0,0.05,2.0,0.042,0.008970618707759236,500.0,0.06949358868961793,-0.027493588689617925,-3.064848655961382,,,,,,,,,,,,,,,
"type_i_inflation[power_primary-94ae5b6e309e,shape]",type_i_inflation,translation,shape,power_primary-94ae5b6e309e,1.0,True,"rate=0.0300 <= bound=0.0695 (alpha=0.05 + 2·SE, n=500)",power_primary-94ae5b6e309e,power_primary,translation,shape,1.0,0.05,2.0,0.03,0.00762889244910426,500.0,0.06949358868961793,-0.03949358868961793,-5.176844339214015,,,,,,,,,,,,,,,
"type_i_inflation[power_primary-a3dabd0a79ce,delta]",type_i_inflation,translation,delta,power_primary-a3dabd0a79ce,0.5,True,"rate=0.0560 <= bound=0.0695 (alpha=0.05 + 2·SE, n=500)",power_primary-a3dabd0a79ce,power_primary,translation,delta,0.5,0.05,2.0,0.056,0.010282412168358162,500.0,0.06949358868961793,-0.013493588689617926,-1.3122979772335372,,,,,,,,,,,,,,,
"type_i_inflation[power_primary-a3dabd0a79ce,angle]",type_i_inflation,translation,angle,power_primary-a3dabd0a79ce,0.5,True,"rate=0.0280 <= bound=0.0695 (alpha=0.05 + 2·SE, n=500)",power_primary-a3dabd0a79ce,power_primary,translation,angle,0.5,0.05,2.0,0.028,0.007377804551490911,500.0,0.06949358868961793,-0.04149358868961793,-5.624110587374245,,,,,,,,,,,,,,,
"type_i_inflation[power_primary-a3dabd0a79ce,shape]",type_i_inflation,translation,shape,power_primary-a3dabd0a79ce,0.5,True,"rate=0.0460 <= bound=0.0695 (alpha=0.05 + 2·SE, n=500)",power_primary-a3dabd0a79ce,power_primary,translation,shape,0.5,0.05,2.0,0.046,0.00936845771725528,500.0,0.06949358868961793,-0.023493588689617928,-2.507732798574337,,,,,,,,,,,,,,,
"type_i_inflation[power_primary-ac245a5f3d63,delta]",type_i_inflation,translation,delta,power_primary-ac245a5f3d63,0.25,True,"rate=0.0540 <= bound=0.0695 (alpha=0.05 + 2·SE, n=500)",power_primary-ac245a5f3d63,power_primary,translation,delta,0.25,0.05,2.0,0.054,0.010107818755794942,500.0,0.06949358868961793,-0.015493588689617928,-1.5328320643596083,,,,,,,,,,,,,,,
"type_i_inflation[power_primary-ac245a5f3d63,angle]",type_i_inflation,translation,angle,power_primary-ac245a5f3d63,0.25,True,"rate=0.0380 <= bound=0.0695 (alpha=0.05 + 2·SE, n=500)",power_primary-ac245a5f3d63,power_primary,translation,angle,0.25,0.05,2.0,0.038,0.00855055553750749,500.0,0.06949358868961793,-0.03149358868961793,-3.6832213476036197,,,,,,,,,,,,,,,
"type_i_inflation[power_primary-ac245a5f3d63,shape]",type_i_inflation,translation,shape,power_primary-ac245a5f3d63,0.25,True,"rate=0.0460 <= bound=0.0695 (alpha=0.05 + 2·SE, n=500)",power_primary-ac245a5f3d63,power_primary,translation,shape,0.25,0.05,2.0,0.046,0.00936845771725528,500.0,0.06949358868961793,-0.023493588689617928,-2.507732798574337,,,,,,,,,,,,,,,
"type_i_inflation[power_primary-d74045b65506,delta]",type_i_inflation,none,delta,power_primary-d74045b65506,0.0,True,"rate=0.0360 <= bound=0.0695 (alpha=0.05 + 2·SE, n=500)",power_primary-d74045b65506,power_primary,none,delta,0.0,0.05,2.0,0.036,0.008331146379700696,500.0,0.06949358868961793,-0.03349358868961793,-4.020285704165148,,,,,,,,,,,,,,,
"type_i_inflation[power_primary-d74045b65506,angle]",type_i_inflation,none,angle,power_primary-d74045b65506,0.0,True,"rate=0.0460 <= bound=0.0695 (alpha=0.05 + 2·SE, n=500)",power_primary-d74045b65506,power_primary,none,angle,0.0,0.05,2.0,0.046,0.00936845771725528,500.0,0.06949358868961793,-0.023493588689617928,-2.507732798574337,,,,,,,,,,,,,,,
"type_i_inflation[power_primary-d74045b65506,shape]",type_i_inflation,none,shape,power_primary-d74045b65506,0.0,True,"rate=0.0480 <= bound=0.0695 (alpha=0.05 + 2·SE, n=500)",power_primary-d74045b65506,power_primary,none,shape,0.0,0.05,2.0,0.048,0.009559916317625379,500.0,0.06949358868961793,-0.021493588689617926,-2.248303015999286,,,,,,,,,,,,,,,
"type_i_inflation[type_i_baseline-c9b8da02420a,delta]",type_i_inflation,none,delta,type_i_baseline-c9b8da02420a,,True,"rate=0.0500 <= bound=0.0695 (alpha=0.05 + 2·SE, n=500)",type_i_baseline-c9b8da02420a,type_i_baseline,none,delta,,0.05,2.0,0.05,0.009746794344808964,500.0,0.06949358868961793,-0.019493588689617924,-1.9999999999999996,,,,,,,,,,,,,,,
"type_i_inflation[type_i_baseline-c9b8da02420a,angle]",type_i_inflation,none,angle,type_i_baseline-c9b8da02420a,,True,"rate=0.0400 <= bound=0.0695 (alpha=0.05 + 2·SE, n=500)",type_i_baseline-c9b8da02420a,type_i_baseline,none,angle,,0.05,2.0,0.04,0.008763560920082658,500.0,0.06949358868961793,-0.029493588689617926,-3.365479963975619,,,,,,,,,,,,,,,
"type_i_inflation[type_i_baseline-c9b8da02420a,shape]",type_i_inflation,none,shape,type_i_baseline-c9b8da02420a,,True,"rate=0.0540 <= bound=0.0695 (alpha=0.05 + 2·SE, n=500)",type_i_baseline-c9b8da02420a,type_i_baseline,none,shape,,0.05,2.0,0.054,0.010107818755794942,500.0,0.06949358868961793,-0.015493588689617928,-1.5328320643596083,,,,,,,,,,,,,,,
"type_i_inflation[type_i_baseline-d18f474778c9,delta]",type_i_inflation,translation,delta,type_i_baseline-d18f474778c9,1.0,True,"rate=0.0440 <= bound=0.0695 (alpha=0.05 + 2·SE, n=500)",type_i_baseline-d18f474778c9,type_i_baseline,translation,delta,1.0,0.05,2.0,0.044,0.009172131704244111,500.0,0.06949358868961793,-0.02549358868961793,-2.779461690222087,,,,,,,,,,,,,,,
"type_i_inflation[type_i_baseline-d18f474778c9,angle]",type_i_inflation,translation,angle,type_i_baseline-d18f474778c9,1.0,True,"rate=0.0480 <= bound=0.0695 (alpha=0.05 + 2·SE, n=500)",type_i_baseline-d18f474778c9,type_i_baseline,translation,angle,1.0,0.05,2.0,0.048,0.009559916317625379,500.0,0.06949358868961793,-0.021493588689617926,-2.248303015999286,,,,,,,,,,,,,,,
"type_i_inflation[type_i_baseline-d18f474778c9,shape]",type_i_inflation,translation,shape,type_i_baseline-d18f474778c9,1.0,True,"rate=0.0620 <= bound=0.0695 (alpha=0.05 + 2·SE, n=500)",type_i_baseline-d18f474778c9,type_i_baseline,translation,shape,1.0,0.05,2.0,0.062,0.010784804124322332,500.0,0.06949358868961793,-0.007493588689617928,-0.6948284459536989,,,,,,,,,,,,,,,
