trajectory_mode,effect_size,cell_id,phase,checkpoint,scope,measurement_space,statistic,n_replicates,n_available,n_unavailable,mean,sd,median
magnitude,0.25,power_primary-cfb3246b2bad,power_primary,population_native,expression,native_omic_units,angle,500,500,0,6.91382398500305e-07,8.547272356597721e-07,0.0
magnitude,0.25,power_primary-cfb3246b2bad,power_primary,population_native,expression,native_omic_units,delta,500,500,0,0.0,0.0,0.0
magnitude,0.25,power_primary-cfb3246b2bad,power_primary,population_native,expression,native_omic_units,path_length[A],500,500,0,38.094006672512265,1.6683249866275307,38.094869042197594
magnitude,0.25,power_primary-cfb3246b2bad,power_primary,population_native,expression,native_omic_units,path_length[B],500,500,0,38.094006672512265,1.6683249866275307,38.094869042197594
magnitude,0.25,power_primary-cfb3246b2bad,power_primary,population_native,expression,native_omic_units,shape,500,500,0,1.1864204483876969e-15,4.203787309957405e-16,1.0868219388937115e-15
magnitude,0.25,power_primary-cfb3246b2bad,power_primary,population_native,methylation,native_omic_units,angle,500,500,0,5.852003268377238e-07,7.61621640615984e-07,0.0
magnitude,0.25,power_primary-cfb3246b2bad,power_primary,population_native,methylation,native_omic_units,delta,500,500,0,12.147099106532421,0.4854225878111974,12.153048940009413
magnitude,0.25,power_primary-cfb3246b2bad,power_primary,population_native,methylation,native_omic_units,path_length[A],500,500,0,48.58839642612972,1.9416903512447894,48.61219576003766
magnitude,0.25,power_primary-cfb3246b2bad,power_primary,population_native,methylation,native_omic_units,path_length[B],500,500,0,60.73549553266212,2.4271129390559865,60.76524470004707
magnitude,0.25,power_primary-cfb3246b2bad,power_primary,population_native,methylation,native_omic_units,shape,500,500,0,1.5468584698163961e-15,3.8252528275245377e-16,1.4924681504100045e-15
magnitude,0.25,power_primary-cfb3246b2bad,power_primary,population_native,proteomics,native_omic_units,angle,500,500,0,7.638420692322208e-07,9.155196299886515e-07,0.0
magnitude,0.25,power_primary-cfb3246b2bad,power_primary,population_native,proteomics,native_omic_units,delta,500,500,0,0.0,0.0,0.0
magnitude,0.25,power_primary-cfb3246b2bad,power_primary,population_native,proteomics,native_omic_units,path_length[A],500,500,0,42.224188356396326,2.045071257278377,42.27713074439798
magnitude,0.25,power_primary-cfb3246b2bad,power_primary,population_native,proteomics,native_omic_units,path_length[B],500,500,0,42.224188356396326,2.045071257278377,42.27713074439798
magnitude,0.25,power_primary-cfb3246b2bad,power_primary,population_native,proteomics,native_omic_units,shape,500,500,0,1.2996762056958934e-15,4.715509191645523e-16,1.1639599168717225e-15
magnitude,0.25,power_primary-cfb3246b2bad,power_primary,population_standardized,expression,standardized_feature,angle,500,500,0,6.914161055856496e-07,8.40046829886472e-07,0.0
magnitude,0.25,power_primary-cfb3246b2bad,power_primary,population_standardized,expression,standardized_feature,delta,500,500,0,0.0,0.0,0.0
magnitude,0.25,power_primary-cfb3246b2bad,power_primary,population_standardized,expression,standardized_feature,path_length[A],500,500,0,32.96644730373285,1.4835658358060004,33.0446741742487
magnitude,0.25,power_primary-cfb3246b2bad,power_primary,population_standardized,expression,standardized_feature,path_length[B],500,500,0,32.96644730373285,1.4835658358060004,33.0446741742487
magnitude,0.25,power_primary-cfb3246b2bad,power_primary,population_standardized,expression,standardized_feature,shape,500,500,0,9.290377451780473e-16,3.7052867181940263e-16,8.590642358442212e-16
magnitude,0.25,power_primary-cfb3246b2bad,power_primary,population_standardized,joint,standardized_feature,angle,500,500,0,11.555373564967192,25.39434012940872,6.697795851647357
magnitude,0.25,power_primary-cfb3246b2bad,power_primary,population_standardized,joint,standardized_feature,delta,500,500,0,6.393299898324654,0.33052756390525906,6.3788128263671595
magnitude,0.25,power_primary-cfb3246b2bad,power_primary,population_standardized,joint,standardized_feature,path_length[A],500,500,0,66.13200855253882,2.6560225745398687,66.2818316736903
magnitude,0.25,power_primary-cfb3246b2bad,power_primary,population_standardized,joint,standardized_feature,path_length[B],500,500,0,72.52530845086349,2.837753986102806,72.68188596936179
magnitude,0.25,power_primary-cfb3246b2bad,power_primary,population_standardized,joint,standardized_feature,shape,500,500,0,0.007679311946253425,0.0024935793581442613,0.007643620829657234
magnitude,0.25,power_primary-cfb3246b2bad,power_primary,population_standardized,methylation,standardized_feature,angle,500,500,0,5.798392234339721e-07,7.522466428216631e-07,0.0
magnitude,0.25,power_primary-cfb3246b2bad,power_primary,population_standardized,methylation,standardized_feature,delta,500,500,0,9.918701489241785,0.40008925278171475,9.914793446423445
magnitude,0.25,power_primary-cfb3246b2bad,power_primary,population_standardized,methylation,standardized_feature,path_length[A],500,500,0,39.674805956967134,1.6003570111268592,39.65917378569378
magnitude,0.25,power_primary-cfb3246b2bad,power_primary,population_standardized,methylation,standardized_feature,path_length[B],500,500,0,49.59350744620893,2.0004462639085743,49.573967232117226
magnitude,0.25,power_primary-cfb3246b2bad,power_primary,population_standardized,methylation,standardized_feature,shape,500,500,0,1.021953558658715e-15,3.9876386360294158e-16,9.510154780307328e-16
magnitude,0.25,power_primary-cfb3246b2bad,power_primary,population_standardized,proteomics,standardized_feature,angle,500,500,0,7.135005170358304e-07,8.518902846898741e-07,0.0
magnitude,0.25,power_primary-cfb3246b2bad,power_primary,population_standardized,proteomics,standardized_feature,delta,500,500,0,0.0,0.0,0.0
magnitude,0.25,power_primary-cfb3246b2bad,power_primary,population_standardized,proteomics,standardized_feature,path_length[A],500,500,0,41.33123336317876,2.025639839517208,41.36247438979745
magnitude,0.25,power_primary-cfb3246b2bad,power_primary,population_standardized,proteomics,standardized_feature,path_length[B],500,500,0,41.33123336317876,2.025639839517208,41.36247438979745
magnitude,0.25,power_primary-cfb3246b2bad,power_primary,population_standardized,proteomics,standardized_feature,shape,500,500,0,9.837524539452468e-16,3.628182725909274e-16,9.106675738034813e-16
magnitude,0.25,power_primary-cfb3246b2bad,power_primary,observed_standardized,expression,standardized_feature,angle,500,500,0,13.228874724647632,25.721041957504934,7.906912773358627
magnitude,0.25,power_primary-cfb3246b2bad,power_primary,observed_standardized,expression,standardized_feature,delta,500,500,0,0.15256746372147362,0.11570534025610138,0.13271284764242353
magnitude,0.25,power_primary-cfb3246b2bad,power_primary,observed_standardized,expression,standardized_feature,path_length[A],500,500,0,33.122093779779796,1.4708445661474971,33.20498475791092
magnitude,0.25,power_primary-cfb3246b2bad,power_primary,observed_standardized,expression,standardized_feature,path_length[B],500,500,0,33.10480200644324,1.4754267130234822,33.18718971055168
magnitude,0.25,power_primary-cfb3246b2bad,power_primary,observed_standardized,expression,standardized_feature,shape,500,500,0,0.010910285875605056,0.003720239459514949,0.010699122227227357
magnitude,0.25,power_primary-cfb3246b2bad,power_primary,observed_standardized,joint,standardized_feature,angle,500,500,0,15.546472834497127,24.70483049683889,10.69599277189277
magnitude,0.25,power_primary-cfb3246b2bad,power_primary,observed_standardized,joint,standardized_feature,delta,500,500,0,6.361404658903104,0.3926495531964786,6.365588980420483
magnitude,0.25,power_primary-cfb3246b2bad,power_primary,observed_standardized,joint,standardized_feature,path_length[A],500,500,0,66.51584677074545,2.627741167888059,66.64935824821006
magnitude,0.25,power_primary-cfb3246b2bad,power_primary,observed_standardized,joint,standardized_feature,path_length[B],500,500,0,72.8772514296485,2.8191074890784806,72.98559165405425
magnitude,0.25,power_primary-cfb3246b2bad,power_primary,observed_standardized,joint,standardized_feature,shape,500,500,0,0.009510960559012856,0.003320249622921354,0.009052206454454727
magnitude,0.25,power_primary-cfb3246b2bad,power_primary,observed_standardized,methylation,standardized_feature,angle,500,500,0,18.62293205933892,28.58714835671656,11.18670789802848
magnitude,0.25,power_primary-cfb3246b2bad,power_primary,observed_standardized,methylation,standardized_feature,delta,500,500,0,9.846056314334188,0.49661478354018324,9.850906560120428
magnitude,0.25,power_primary-cfb3246b2bad,power_primary,observed_standardized,methylation,standardized_feature,path_length[A],500,500,0,40.06982568624249,1.5869024696871903,40.05066427670046
magnitude,0.25,power_primary-cfb3246b2bad,power_primary,observed_standardized,methylation,standardized_feature,path_length[B],500,500,0,49.91588200057665,1.9940336173824929,49.886715310611336
magnitude,0.25,power_primary-cfb3246b2bad,power_primary,observed_standardized,methylation,standardized_feature,shape,500,500,0,0.011461030669318403,0.005489470956790826,0.010266294230348721
magnitude,0.25,power_primary-cfb3246b2bad,power_primary,observed_standardized,proteomics,standardized_feature,angle,500,500,0,8.74427702033995,18.640124171975977,6.240787271987031
magnitude,0.25,power_primary-cfb3246b2bad,power_primary,observed_standardized,proteomics,standardized_feature,delta,500,500,0,0.12068259472195529,0.09069701477612614,0.1031264780432366
magnitude,0.25,power_primary-cfb3246b2bad,power_primary,observed_standardized,proteomics,standardized_feature,path_length[A],500,500,0,41.44074354138149,2.0132981330937825,41.51251442025993
magnitude,0.25,power_primary-cfb3246b2bad,power_primary,observed_standardized,proteomics,standardized_feature,path_length[B],500,500,0,41.451142181358115,2.0144344339990727,41.49046983258094
magnitude,0.25,power_primary-cfb3246b2bad,power_primary,observed_standardized,proteomics,standardized_feature,shape,500,500,0,0.006657437128326099,0.0022383537982437283,0.006397389984171983
