cell_id,phase,trajectory_mode,effect_size,completed_replicates,nominal_size,realized_mean,realized_min,realized_max,censored_replicates,censored_fraction,duplicate_of,duplicate_construction
power_primary-cfb3246b2bad,power_primary,magnitude,0.25,500,,,,,,,,False
power_primary-a232c2e1578d,power_primary,magnitude,0.5,500,,,,,,,,False
power_primary-3b941f099b80,power_primary,magnitude,0.75,500,,,,,,,,False
power_primary-6459c57fb4f3,power_primary,magnitude,1.0,500,,,,,,,,False
power_primary-d74045b65506,power_primary,none,0.0,500,,,,,,,,False
type_i_baseline-c9b8da02420a,type_i_baseline,none,,500,,,,,,,,False
power_primary-c54af648857f,power_primary,orientation,0.25,500,31.414,31.414,24.0,40.0,0.0,0.0,,False
power_primary-5e2c6d914647,power_primary,orientation,0.5,500,62.792,62.792,48.0,79.0,0.0,0.0,,False
power_primary-1ed275cc35f0,power_primary,orientation,0.75,500,94.248,94.248,73.0,118.0,0.0,0.0,,False
power_primary-6533cca3cff6,power_primary,orientation,1.0,500,125.662,125.662,97.0,158.0,0.0,0.0,,False
power_primary-09a62cdd5554,power_primary,shape,0.25,500,9.21,9.21,6.0,14.0,0.0,0.0,,False
power_primary-b940c368477e,power_primary,shape,0.5,500,18.424,18.424,12.0,28.0,0.0,0.0,,False
power_primary-06f4766977e1,power_primary,shape,0.75,500,27.67,27.67,17.0,43.0,0.0,0.0,,False
power_primary-3f2eccb585e5,power_primary,shape,1.0,500,36.88,36.88,23.0,57.0,0.0,0.0,,False
power_primary-ac245a5f3d63,power_primary,translation,0.25,500,9.0,9.0,9.0,9.0,0.0,0.0,,False
power_primary-a3dabd0a79ce,power_primary,translation,0.5,500,18.0,18.0,18.0,18.0,0.0,0.0,,False
power_primary-8d1d54882ad0,power_primary,translation,0.75,500,28.0,28.0,28.0,28.0,0.0,0.0,,False
power_primary-94ae5b6e309e,power_primary,translation,1.0,500,37.0,37.0,37.0,37.0,0.0,0.0,,False
type_i_baseline-d18f474778c9,type_i_baseline,translation,1.0,500,37.0,37.0,37.0,37.0,0.0,0.0,,False
