generator.baseline_continuity,generator.n_samples,phase,is_baseline,trajectory_mode,effect_size,statistic,n_cells,n_replicates,n_available,n_rejected,rejection_rate,monte_carlo_se,n_eigengap_available,mean_eigengap,q33_eigengap,median_eigengap,q67_eigengap,n_angle_null_available,median_angle_null_q95,iqr_angle_null_q95,sd_angle_null_q95,n_selected_lv_available,median_selected_lv,min_selected_lv,max_selected_lv
0.0,300,power_primary,True,none,0.0,delta,1,100,100,3,0.03,0.01705872210923198,100,0.058011622491885725,0.04125683099555305,0.05195862950659286,0.06873445201916967,100,17.324500971098885,20.012330493827847,58.64035772973528,100,3.0,2,4
0.0,300,power_primary,True,none,0.0,angle,1,100,100,6,0.06,0.023748684174075833,100,0.058011622491885725,0.04125683099555305,0.05195862950659286,0.06873445201916967,100,17.324500971098885,20.012330493827847,58.64035772973528,100,3.0,2,4
0.0,300,power_primary,True,none,0.0,shape,1,100,100,3,0.03,0.01705872210923198,100,0.058011622491885725,0.04125683099555305,0.05195862950659286,0.06873445201916967,100,17.324500971098885,20.012330493827847,58.64035772973528,100,3.0,2,4
0.0,300,power_primary,True,orientation,0.25,delta,1,100,100,60,0.6,0.04898979485566356,100,0.05910551410308092,0.042610960731239045,0.056174303945195486,0.07111212646839704,100,19.137832549137507,45.3501814665375,56.964780304222444,100,3.0,2,4
0.0,300,power_primary,True,orientation,0.25,angle,1,100,100,45,0.45,0.049749371855331,100,0.05910551410308092,0.042610960731239045,0.056174303945195486,0.07111212646839704,100,19.137832549137507,45.3501814665375,56.964780304222444,100,3.0,2,4
0.0,300,power_primary,True,orientation,0.25,shape,1,100,100,82,0.82,0.0384187454245971,100,0.05910551410308092,0.042610960731239045,0.056174303945195486,0.07111212646839704,100,19.137832549137507,45.3501814665375,56.964780304222444,100,3.0,2,4
0.0,300,power_primary,True,orientation,0.5,delta,1,100,100,67,0.67,0.04702127178203499,100,0.05678001619206399,0.038519128515469514,0.05070773646879126,0.06736830725658877,100,24.756454200146095,33.95833917027944,57.08333879396922,100,3.0,2,4
0.0,300,power_primary,True,orientation,0.5,angle,1,100,100,63,0.63,0.048280430818293245,100,0.05678001619206399,0.038519128515469514,0.05070773646879126,0.06736830725658877,100,24.756454200146095,33.95833917027944,57.08333879396922,100,3.0,2,4
0.0,300,power_primary,True,orientation,0.5,shape,1,100,100,93,0.93,0.02551470164434614,100,0.05678001619206399,0.038519128515469514,0.05070773646879126,0.06736830725658877,100,24.756454200146095,33.95833917027944,57.08333879396922,100,3.0,2,4
0.0,300,power_primary,True,orientation,1.0,delta,1,100,100,69,0.69,0.04624932431938871,100,0.05833555117892003,0.034978680319140365,0.05182799842095989,0.06739181122237597,100,40.741784437920415,107.3970456082791,59.08471965526275,100,4.0,3,4
0.0,300,power_primary,True,orientation,1.0,angle,1,100,100,55,0.55,0.049749371855330994,100,0.05833555117892003,0.034978680319140365,0.05182799842095989,0.06739181122237597,100,40.741784437920415,107.3970456082791,59.08471965526275,100,4.0,3,4
0.0,300,power_primary,True,orientation,1.0,shape,1,100,100,91,0.91,0.028618176042508364,100,0.05833555117892003,0.034978680319140365,0.05182799842095989,0.06739181122237597,100,40.741784437920415,107.3970456082791,59.08471965526275,100,4.0,3,4
0.0,300,power_primary,True,translation,0.25,delta,1,100,100,3,0.03,0.01705872210923198,100,0.059051528800797615,0.03978468358693721,0.055817884789833155,0.06947365123294796,100,14.563128124309237,65.09986021359134,62.748308100164685,100,3.0,2,4
0.0,300,power_primary,True,translation,0.25,angle,1,100,100,3,0.03,0.01705872210923198,100,0.059051528800797615,0.03978468358693721,0.055817884789833155,0.06947365123294796,100,14.563128124309237,65.09986021359134,62.748308100164685,100,3.0,2,4
0.0,300,power_primary,True,translation,0.25,shape,1,100,100,1,0.01,0.0099498743710662,100,0.059051528800797615,0.03978468358693721,0.055817884789833155,0.06947365123294796,100,14.563128124309237,65.09986021359134,62.748308100164685,100,3.0,2,4
0.0,300,power_primary,True,translation,0.5,delta,1,100,100,2,0.02,0.014,100,0.06036601345347216,0.0435325744502445,0.055144590201496535,0.07277225804710441,100,16.221887822302484,15.636198785852693,55.51022497584796,100,3.0,2,3
0.0,300,power_primary,True,translation,0.5,angle,1,100,100,6,0.06,0.023748684174075833,100,0.06036601345347216,0.0435325744502445,0.055144590201496535,0.07277225804710441,100,16.221887822302484,15.636198785852693,55.51022497584796,100,3.0,2,3
0.0,300,power_primary,True,translation,0.5,shape,1,100,100,3,0.03,0.01705872210923198,100,0.06036601345347216,0.0435325744502445,0.055144590201496535,0.07277225804710441,100,16.221887822302484,15.636198785852693,55.51022497584796,100,3.0,2,3
0.0,300,power_primary,True,translation,1.0,delta,1,100,100,5,0.05,0.021794494717703367,100,0.060631824318589767,0.04301258360698207,0.0548257691911366,0.07715151203601572,100,12.255851384063822,20.07085242304032,56.28027619699567,100,3.0,2,3
0.0,300,power_primary,True,translation,1.0,angle,1,100,100,2,0.02,0.014,100,0.060631824318589767,0.04301258360698207,0.0548257691911366,0.07715151203601572,100,12.255851384063822,20.07085242304032,56.28027619699567,100,3.0,2,3
0.0,300,power_primary,True,translation,1.0,shape,1,100,100,2,0.02,0.014,100,0.060631824318589767,0.04301258360698207,0.0548257691911366,0.07715151203601572,100,12.255851384063822,20.07085242304032,56.28027619699567,100,3.0,2,3
0.0,600,power_design,False,none,0.0,delta,1,100,100,4,0.04,0.019595917942265423,100,0.0589609565308312,0.04345048818138808,0.05488062906970226,0.07420325031430286,100,8.12011283164068,7.734319515367597,52.61867948877744,100,3.0,2,3
0.0,600,power_design,False,none,0.0,angle,1,100,100,5,0.05,0.021794494717703367,100,0.0589609565308312,0.04345048818138808,0.05488062906970226,0.07420325031430286,100,8.12011283164068,7.734319515367597,52.61867948877744,100,3.0,2,3
0.0,600,power_design,False,none,0.0,shape,1,100,100,5,0.05,0.021794494717703367,100,0.0589609565308312,0.04345048818138808,0.05488062906970226,0.07420325031430286,100,8.12011283164068,7.734319515367597,52.61867948877744,100,3.0,2,3
0.0,600,power_design,False,orientation,0.25,delta,1,100,100,77,0.77,0.042083250825001625,100,0.06011146370227121,0.04557172970305651,0.059789755138394546,0.07378177017327098,100,9.623616777374668,15.000688585285213,49.24337615127463,100,3.0,2,4
0.0,600,power_design,False,orientation,0.25,angle,1,100,100,74,0.74,0.04386342439892262,100,0.06011146370227121,0.04557172970305651,0.059789755138394546,0.07378177017327098,100,9.623616777374668,15.000688585285213,49.24337615127463,100,3.0,2,4
0.0,600,power_design,False,orientation,0.25,shape,1,100,100,96,0.96,0.019595917942265433,100,0.06011146370227121,0.04557172970305651,0.059789755138394546,0.07378177017327098,100,9.623616777374668,15.000688585285213,49.24337615127463,100,3.0,2,4
0.0,600,power_design,False,orientation,0.5,delta,1,100,100,81,0.81,0.03923009049186606,100,0.058362203786858455,0.04079538966831864,0.05394560779447499,0.06676099580275224,100,11.65819476946035,13.979786074296042,56.572733199177364,100,3.0,2,3
0.0,600,power_design,False,orientation,0.5,angle,1,100,100,81,0.81,0.03923009049186606,100,0.058362203786858455,0.04079538966831864,0.05394560779447499,0.06676099580275224,100,11.65819476946035,13.979786074296042,56.572733199177364,100,3.0,2,3
0.0,600,power_design,False,orientation,0.5,shape,1,100,100,100,1.0,0.0,100,0.058362203786858455,0.04079538966831864,0.05394560779447499,0.06676099580275224,100,11.65819476946035,13.979786074296042,56.572733199177364,100,3.0,2,3
0.0,600,power_design,False,orientation,1.0,delta,1,100,100,78,0.78,0.04142463035441595,100,0.05380456174711787,0.03843490077583539,0.04815124793662626,0.06551027197400133,100,18.75930636485424,38.20936539621365,55.47103406050049,100,3.0,2,4
0.0,600,power_design,False,orientation,1.0,angle,1,100,100,76,0.76,0.04270831300812525,100,0.05380456174711787,0.03843490077583539,0.04815124793662626,0.06551027197400133,100,18.75930636485424,38.20936539621365,55.47103406050049,100,3.0,2,4
0.0,600,power_design,False,orientation,1.0,shape,1,100,100,99,0.99,0.009949874371066205,100,0.05380456174711787,0.03843490077583539,0.04815124793662626,0.06551027197400133,100,18.75930636485424,38.20936539621365,55.47103406050049,100,3.0,2,4
0.0,600,power_design,False,translation,0.25,delta,1,100,100,2,0.02,0.014,100,0.06008521403015863,0.04222992492813532,0.05492638106776515,0.0778565287383049,100,7.72020422882611,9.318809890223106,47.535793405640064,100,3.0,2,3
0.0,600,power_design,False,translation,0.25,angle,1,100,100,0,0.0,0.0,100,0.06008521403015863,0.04222992492813532,0.05492638106776515,0.0778565287383049,100,7.72020422882611,9.318809890223106,47.535793405640064,100,3.0,2,3
0.0,600,power_design,False,translation,0.25,shape,1,100,100,5,0.05,0.021794494717703367,100,0.06008521403015863,0.04222992492813532,0.05492638106776515,0.0778565287383049,100,7.72020422882611,9.318809890223106,47.535793405640064,100,3.0,2,3
0.0,600,power_design,False,translation,0.5,delta,1,100,100,5,0.05,0.021794494717703367,100,0.06021874530915663,0.03859441693631377,0.05684138549595019,0.07681326210072725,100,8.314637157170608,7.438280737338677,52.05659853759233,100,3.0,2,3
0.0,600,power_design,False,translation,0.5,angle,1,100,100,4,0.04,0.019595917942265423,100,0.06021874530915663,0.03859441693631377,0.05684138549595019,0.07681326210072725,100,8.314637157170608,7.438280737338677,52.05659853759233,100,3.0,2,3
0.0,600,power_design,False,translation,0.5,shape,1,100,100,2,0.02,0.014,100,0.06021874530915663,0.03859441693631377,0.05684138549595019,0.07681326210072725,100,8.314637157170608,7.438280737338677,52.05659853759233,100,3.0,2,3
0.0,600,power_design,False,translation,1.0,delta,1,100,100,2,0.02,0.014,100,0.060434429691824644,0.04114168977731564,0.05541626589172949,0.07647627391986217,100,7.2103986267122,8.486424682169204,49.34670694691861,100,3.0,2,3
0.0,600,power_design,False,translation,1.0,angle,1,100,100,6,0.06,0.023748684174075833,100,0.060434429691824644,0.04114168977731564,0.05541626589172949,0.07647627391986217,100,7.2103986267122,8.486424682169204,49.34670694691861,100,3.0,2,3
0.0,600,power_design,False,translation,1.0,shape,1,100,100,6,0.06,0.023748684174075833,100,0.060434429691824644,0.04114168977731564,0.05541626589172949,0.07647627391986217,100,7.2103986267122,8.486424682169204,49.34670694691861,100,3.0,2,3
0.0,1200,power_design,False,none,0.0,delta,1,100,100,4,0.04,0.019595917942265423,100,0.060103191806928115,0.04132826459170674,0.05476163488409985,0.07807106221379012,100,4.855617462602608,3.7756871458178733,33.78769477591723,100,3.0,2,3
0.0,1200,power_design,False,none,0.0,angle,1,100,100,4,0.04,0.019595917942265423,100,0.060103191806928115,0.04132826459170674,0.05476163488409985,0.07807106221379012,100,4.855617462602608,3.7756871458178733,33.78769477591723,100,3.0,2,3
0.0,1200,power_design,False,none,0.0,shape,1,100,100,3,0.03,0.01705872210923198,100,0.060103191806928115,0.04132826459170674,0.05476163488409985,0.07807106221379012,100,4.855617462602608,3.7756871458178733,33.78769477591723,100,3.0,2,3
0.0,1200,power_design,False,orientation,0.25,delta,1,100,100,88,0.88,0.03249615361854384,100,0.06125612800881198,0.04494232709529289,0.05986129299372231,0.07693063095737696,100,5.858884937391828,6.680548242287531,43.83995902949007,100,3.0,2,3
0.0,1200,power_design,False,orientation,0.25,angle,1,100,100,83,0.83,0.037563279941985904,100,0.06125612800881198,0.04494232709529289,0.05986129299372231,0.07693063095737696,100,5.858884937391828,6.680548242287531,43.83995902949007,100,3.0,2,3
0.0,1200,power_design,False,orientation,0.25,shape,1,100,100,100,1.0,0.0,100,0.06125612800881198,0.04494232709529289,0.05986129299372231,0.07693063095737696,100,5.858884937391828,6.680548242287531,43.83995902949007,100,3.0,2,3
0.0,1200,power_design,False,orientation,0.5,delta,1,100,100,86,0.86,0.03469870314579494,100,0.05738572135178257,0.0392576111738816,0.054126679200499156,0.0664784323975679,100,7.298572224287383,8.481774074325655,50.49372327388284,100,3.0,2,4
0.0,1200,power_design,False,orientation,0.5,angle,1,100,100,89,0.89,0.031288975694324025,100,0.05738572135178257,0.0392576111738816,0.054126679200499156,0.0664784323975679,100,7.298572224287383,8.481774074325655,50.49372327388284,100,3.0,2,4
0.0,1200,power_design,False,orientation,0.5,shape,1,100,100,100,1.0,0.0,100,0.05738572135178257,0.0392576111738816,0.054126679200499156,0.0664784323975679,100,7.298572224287383,8.481774074325655,50.49372327388284,100,3.0,2,4
