trajectory_mode,effect_size,cell_id,phase,statistic,stratum,n_strata,eigengap_low,eigengap_high,mean_eigengap,n_replicates,n_available,n_rejected,rejection_rate,monte_carlo_se,status
orientation,0.25,power_design-1dca0cb6497e,power_design,angle,0,3,0.019860863286329467,0.133723385068876,0.08042177249277216,34,34,12,0.35294117647058826,0.08195653482579246,ok
orientation,0.25,power_design-1dca0cb6497e,power_design,angle,1,3,0.14042173137204117,0.199137016563107,0.1715371093593308,33,33,7,0.21212121212121213,0.07116472642790657,ok
orientation,0.25,power_design-1dca0cb6497e,power_design,angle,2,3,0.1992951082213259,0.612688806312251,0.28342276634857444,33,33,7,0.21212121212121213,0.07116472642790657,ok
orientation,0.25,power_design-1dca0cb6497e,power_design,delta,0,3,0.019860863286329467,0.133723385068876,0.08042177249277216,34,34,12,0.35294117647058826,0.08195653482579246,ok
orientation,0.25,power_design-1dca0cb6497e,power_design,delta,1,3,0.14042173137204117,0.199137016563107,0.1715371093593308,33,33,9,0.2727272727272727,0.07752753322022198,ok
orientation,0.25,power_design-1dca0cb6497e,power_design,delta,2,3,0.1992951082213259,0.612688806312251,0.28342276634857444,33,33,9,0.2727272727272727,0.07752753322022198,ok
orientation,0.25,power_design-1dca0cb6497e,power_design,shape,0,3,0.019860863286329467,0.133723385068876,0.08042177249277216,34,34,23,0.6764705882352942,0.08023094083513455,ok
orientation,0.25,power_design-1dca0cb6497e,power_design,shape,1,3,0.14042173137204117,0.199137016563107,0.1715371093593308,33,33,12,0.36363636363636365,0.08373930663124332,ok
orientation,0.25,power_design-1dca0cb6497e,power_design,shape,2,3,0.1992951082213259,0.612688806312251,0.28342276634857444,33,33,13,0.3939393939393939,0.08505811700208933,ok
orientation,0.25,power_design-4b3cbbf30208,power_design,angle,0,3,0.003990872937735368,0.14255284816962105,0.08425779974048678,34,34,1,0.029411764705882353,0.02897601076893465,ok
orientation,0.25,power_design-4b3cbbf30208,power_design,angle,1,3,0.14535405117472444,0.22134616825159775,0.1695265758577249,33,33,3,0.09090909090909091,0.050043807505743665,ok
orientation,0.25,power_design-4b3cbbf30208,power_design,angle,2,3,0.22606237677884178,0.6050470358756033,0.39104647951922117,33,33,3,0.09090909090909091,0.050043807505743665,ok
orientation,0.25,power_design-4b3cbbf30208,power_design,delta,0,3,0.003990872937735368,0.14255284816962105,0.08425779974048678,34,34,10,0.29411764705882354,0.07814248990059665,ok
orientation,0.25,power_design-4b3cbbf30208,power_design,delta,1,3,0.14535405117472444,0.22134616825159775,0.1695265758577249,33,33,1,0.030303030303030304,0.02984036144953521,ok
orientation,0.25,power_design-4b3cbbf30208,power_design,delta,2,3,0.22606237677884178,0.6050470358756033,0.39104647951922117,33,33,5,0.15151515151515152,0.062415594005386335,ok
orientation,0.25,power_design-4b3cbbf30208,power_design,shape,0,3,0.003990872937735368,0.14255284816962105,0.08425779974048678,34,34,13,0.38235294117647056,0.08334181380283408,ok
orientation,0.25,power_design-4b3cbbf30208,power_design,shape,1,3,0.14535405117472444,0.22134616825159775,0.1695265758577249,33,33,9,0.2727272727272727,0.07752753322022198,ok
orientation,0.25,power_design-4b3cbbf30208,power_design,shape,2,3,0.22606237677884178,0.6050470358756033,0.39104647951922117,33,33,4,0.12121212121212122,0.05681435554915709,ok
orientation,0.25,power_design-57054ea4aecd,power_design,angle,0,3,0.00280598106375346,0.09737602590246813,0.058860239777651806,34,34,6,0.17647058823529413,0.06537869767367192,ok
orientation,0.25,power_design-57054ea4aecd,power_design,angle,1,3,0.09777899313405308,0.15207538676494747,0.1253060800034165,33,33,6,0.18181818181818182,0.06714081326145421,ok
orientation,0.25,power_design-57054ea4aecd,power_design,angle,2,3,0.15227377045300794,0.267000469751428,0.20296034627784304,33,33,4,0.12121212121212122,0.05681435554915709,ok
orientation,0.25,power_design-57054ea4aecd,power_design,delta,0,3,0.00280598106375346,0.09737602590246813,0.058860239777651806,34,34,9,0.2647058823529412,0.07566114050404803,ok
orientation,0.25,power_design-57054ea4aecd,power_design,delta,1,3,0.09777899313405308,0.15207538676494747,0.1253060800034165,33,33,8,0.24242424242424243,0.07460090362383802,ok
orientation,0.25,power_design-57054ea4aecd,power_design,delta,2,3,0.15227377045300794,0.267000469751428,0.20296034627784304,33,33,9,0.2727272727272727,0.07752753322022198,ok
orientation,0.25,power_design-57054ea4aecd,power_design,shape,0,3,0.00280598106375346,0.09737602590246813,0.058860239777651806,34,34,20,0.5882352941176471,0.08440353576228697,ok
orientation,0.25,power_design-57054ea4aecd,power_design,shape,1,3,0.09777899313405308,0.15207538676494747,0.1253060800034165,33,33,10,0.30303030303030304,0.08000055652754638,ok
orientation,0.25,power_design-57054ea4aecd,power_design,shape,2,3,0.15227377045300794,0.267000469751428,0.20296034627784304,33,33,11,0.3333333333333333,0.08206099398622183,ok
orientation,0.25,power_design-9b869bb58e46,power_design,angle,0,3,0.007386009855196718,0.13977794033870772,0.0888112936559711,34,34,7,0.20588235294117646,0.06934458070529785,ok
orientation,0.25,power_design-9b869bb58e46,power_design,angle,1,3,0.14185769533228088,0.18649342494050347,0.1634869807452968,33,33,14,0.42424242424242425,0.08603395906609154,ok
orientation,0.25,power_design-9b869bb58e46,power_design,angle,2,3,0.18908865577608197,0.38477812820085594,0.2426084976607317,33,33,17,0.5151515151515151,0.08699885606851798,ok
