trajectory_mode,statistic,effect_size,cell_id,phase,rejection_rate,monte_carlo_se,available_replicates,completed_replicates,censored_fraction,duplicate_construction
none,angle,0.0,power_primary-30c78a391682,power_primary,0.06,0.023748684174075833,100,100,,False
none,delta,0.0,power_primary-30c78a391682,power_primary,0.03,0.01705872210923198,100,100,,False
none,shape,0.0,power_primary-30c78a391682,power_primary,0.03,0.01705872210923198,100,100,,False
orientation,angle,0.25,power_primary-d47b281e5c9b,power_primary,0.45,0.049749371855331,100,100,0.0,False
orientation,angle,0.5,power_primary-618b6dd2e026,power_primary,0.63,0.048280430818293245,100,100,0.0,False
orientation,angle,1.0,power_primary-9d001993ad65,power_primary,0.55,0.049749371855330994,100,100,0.0,False
orientation,delta,0.25,power_primary-d47b281e5c9b,power_primary,0.6,0.04898979485566356,100,100,0.0,False
orientation,delta,0.5,power_primary-618b6dd2e026,power_primary,0.67,0.04702127178203499,100,100,0.0,False
orientation,delta,1.0,power_primary-9d001993ad65,power_primary,0.69,0.04624932431938871,100,100,0.0,False
orientation,shape,0.25,power_primary-d47b281e5c9b,power_primary,0.82,0.0384187454245971,100,100,0.0,False
orientation,shape,0.5,power_primary-618b6dd2e026,power_primary,0.93,0.02551470164434614,100,100,0.0,False
orientation,shape,1.0,power_primary-9d001993ad65,power_primary,0.91,0.028618176042508364,100,100,0.0,False
translation,angle,0.25,power_primary-1c7a9e8b2769,power_primary,0.03,0.01705872210923198,100,100,0.0,False
translation,angle,0.5,power_primary-a3685697a699,power_primary,0.06,0.023748684174075833,100,100,0.0,False
translation,angle,1.0,power_primary-06025b3dafa9,power_primary,0.02,0.014,100,100,0.0,False
translation,angle,1.0,type_i_baseline-1123545949f1,type_i_baseline,0.03,0.01705872210923198,100,100,0.0,False
translation,delta,0.25,power_primary-1c7a9e8b2769,power_primary,0.03,0.01705872210923198,100,100,0.0,False
translation,delta,0.5,power_primary-a3685697a699,power_primary,0.02,0.014,100,100,0.0,False
translation,delta,1.0,power_primary-06025b3dafa9,power_primary,0.05,0.021794494717703367,100,100,0.0,False
translation,delta,1.0,type_i_baseline-1123545949f1,type_i_baseline,0.02,0.014,100,100,0.0,False
translation,shape,0.25,power_primary-1c7a9e8b2769,power_primary,0.01,0.0099498743710662,100,100,0.0,False
translation,shape,0.5,power_primary-a3685697a699,power_primary,0.03,0.01705872210923198,100,100,0.0,False
translation,shape,1.0,power_primary-06025b3dafa9,power_primary,0.02,0.014,100,100,0.0,False
translation,shape,1.0,type_i_baseline-1123545949f1,type_i_baseline,0.03,0.01705872210923198,100,100,0.0,False
