cell_id,phase,trajectory_mode,effect_size,completed_replicates,nominal_size,realized_mean,realized_min,realized_max,censored_replicates,censored_fraction,duplicate_of,duplicate_construction
power_design-053b8f40c922,power_design,none,0.0,100,,,,,,,,False
power_design-71c973a2caad,power_design,none,0.0,100,,,,,,,,False
power_design-7298473bd609,power_design,none,0.0,100,,,,,,,,False
power_design-7ac1657a5a15,power_design,none,0.0,100,,,,,,,,False
power_design-9b1249d3f158,power_design,none,0.0,100,,,,,,,,False
power_design-9c1632a3dd59,power_design,none,0.0,100,,,,,,,,False
power_design-e07cabc32866,power_design,none,0.0,100,,,,,,,,False
power_design-eee2cc91077e,power_design,none,0.0,100,,,,,,,,False
power_primary-30c78a391682,power_primary,none,0.0,100,,,,,,,,False
type_i_baseline-d9df4c3b0570,type_i_baseline,none,,100,,,,,,,,False
power_design-1dca0cb6497e,power_design,orientation,0.25,100,14.19,14.19,10.0,18.0,0.0,0.0,,False
power_design-4b3cbbf30208,power_design,orientation,0.25,100,14.19,14.19,10.0,18.0,0.0,0.0,,False
power_design-57054ea4aecd,power_design,orientation,0.25,100,21.0,21.0,16.0,26.0,0.0,0.0,,False
power_design-9b869bb58e46,power_design,orientation,0.25,100,21.0,21.0,16.0,26.0,0.0,0.0,,False
power_design-9d879d530c71,power_design,orientation,0.25,100,21.0,21.0,16.0,26.0,0.0,0.0,,False
power_design-b93ef89ed303,power_design,orientation,0.25,100,14.19,14.19,10.0,18.0,0.0,0.0,,False
power_design-c2b181f4ad7f,power_design,orientation,0.25,100,31.66,31.66,27.0,38.0,0.0,0.0,,False
power_design-fd7010f1ef00,power_design,orientation,0.25,100,31.66,31.66,27.0,38.0,0.0,0.0,,False
power_primary-d47b281e5c9b,power_primary,orientation,0.25,100,31.66,31.66,27.0,38.0,0.0,0.0,,False
power_design-0d4641cd04c4,power_design,orientation,0.5,100,28.35,28.35,21.0,37.0,0.0,0.0,,False
power_design-109c147a9915,power_design,orientation,0.5,100,42.01,42.01,33.0,52.0,0.0,0.0,,False
power_design-13e5537dcaa2,power_design,orientation,0.5,100,42.01,42.01,33.0,52.0,0.0,0.0,,False
power_design-2a8b28b589d4,power_design,orientation,0.5,100,28.35,28.35,21.0,37.0,0.0,0.0,,False
power_design-4f59277368a0,power_design,orientation,0.5,100,28.35,28.35,21.0,37.0,0.0,0.0,,False
power_design-623e54066414,power_design,orientation,0.5,100,63.26,63.26,54.0,76.0,0.0,0.0,,False
power_design-75ac5ccd76f5,power_design,orientation,0.5,100,63.26,63.26,54.0,76.0,0.0,0.0,,False
power_design-bfbf2c888a8e,power_design,orientation,0.5,100,42.01,42.01,33.0,52.0,0.0,0.0,,False
power_primary-618b6dd2e026,power_primary,orientation,0.5,100,63.26,63.26,54.0,76.0,0.0,0.0,,False
power_design-014b6b44b9ba,power_design,orientation,1.0,100,83.99,83.99,66.0,104.0,0.0,0.0,,False
power_design-078248429891,power_design,orientation,1.0,100,126.52,126.52,109.0,151.0,0.0,0.0,,False
power_design-1b532f0f6197,power_design,orientation,1.0,100,56.66,56.66,42.0,74.0,0.0,0.0,,False
power_design-5604f353771e,power_design,orientation,1.0,100,56.66,56.66,42.0,74.0,0.0,0.0,,False
power_design-aa2c838851fb,power_design,orientation,1.0,100,83.99,83.99,66.0,104.0,0.0,0.0,,False
power_design-c8d7915cc27d,power_design,orientation,1.0,100,56.66,56.66,42.0,74.0,0.0,0.0,,False
power_design-dc3b69d1fb37,power_design,orientation,1.0,100,83.99,83.99,66.0,104.0,0.0,0.0,,False
power_design-f165b82a6ce8,power_design,orientation,1.0,100,126.52,126.52,109.0,151.0,0.0,0.0,,False
power_primary-9d001993ad65,power_primary,orientation,1.0,100,126.52,126.52,109.0,151.0,0.0,0.0,,False
power_design-3d4c17f208c5,power_design,translation,0.25,100,9.0,9.0,9.0,9.0,0.0,0.0,,False
power_design-572ab3d05d21,power_design,translation,0.25,100,9.0,9.0,9.0,9.0,0.0,0.0,,False
power_design-7918d022f6d8,power_design,translation,0.25,100,9.0,9.0,9.0,9.0,0.0,0.0,,False
power_design-a81c429a7548,power_design,translation,0.25,100,9.0,9.0,9.0,9.0,0.0,0.0,,False
power_design-a8dd0ea80df7,power_design,translation,0.25,100,9.0,9.0,9.0,9.0,0.0,0.0,,False
power_design-ba15f253978f,power_design,translation,0.25,100,9.0,9.0,9.0,9.0,0.0,0.0,,False
power_design-c9a8b38dbdc0,power_design,translation,0.25,100,9.0,9.0,9.0,9.0,0.0,0.0,,False
power_design-d99fa7b97a66,power_design,translation,0.25,100,9.0,9.0,9.0,9.0,0.0,0.0,,False
power_primary-1c7a9e8b2769,power_primary,translation,0.25,100,9.0,9.0,9.0,9.0,0.0,0.0,,False
power_design-0f701276217d,power_design,translation,0.5,100,18.0,18.0,18.0,18.0,0.0,0.0,,False
power_design-392a6cc97a97,power_design,translation,0.5,100,18.0,18.0,18.0,18.0,0.0,0.0,,False
power_design-465a8da8e88d,power_design,translation,0.5,100,18.0,18.0,18.0,18.0,0.0,0.0,,False
