trajectory_mode,effect_size,cell_id,phase,configuration,n_replicates,n_recorded,n_available,mean_eigengap,sd_eigengap,q25_eigengap,median_eigengap,q75_eigengap,min_eigengap,max_eigengap
magnitude,0.25,power_design-15c62bec7509,power_design,A,100,100,100,0.05228523784292035,0.030218808953587237,0.030754215604900714,0.04921334486351378,0.06645334204336488,0.00477028893061765,0.13783611646700433
magnitude,0.25,power_design-15c62bec7509,power_design,B,100,100,100,0.048286874919717115,0.027065272922337156,0.027975070185912207,0.04590688376839139,0.06469378753308277,0.0038228075207795698,0.12393654256966308
magnitude,0.25,power_design-15c62bec7509,power_design,pooled,100,100,100,0.05002895588026396,0.02848984035394537,0.030039468730466007,0.04749282375638647,0.0666693117600003,0.005058236188034859,0.12955731843028395
magnitude,0.25,power_design-18cf4e61c373,power_design,A,100,100,100,0.05071859598567487,0.03002880463407257,0.03082629153761761,0.04653161099436762,0.06806738779063685,0.0013313886047492396,0.13558497044618772
magnitude,0.25,power_design-18cf4e61c373,power_design,B,100,100,100,0.0470238249802944,0.02738406674365533,0.027601075561786773,0.042756306289843116,0.06285208198332018,0.0017501649377614226,0.12476167614817568
magnitude,0.25,power_design-18cf4e61c373,power_design,pooled,100,100,100,0.048877693766853324,0.028614748438968742,0.028916471286122986,0.04538204309369617,0.06616695095893999,0.002778585998502614,0.12783432088227226
magnitude,0.25,power_design-aa090817234f,power_design,A,100,100,100,0.05041945660097993,0.02977664512243568,0.030480167682519405,0.04680691436618961,0.06790043634048315,0.0012481521128789308,0.1348788960668446
magnitude,0.25,power_design-aa090817234f,power_design,B,100,100,100,0.0469800567210981,0.02733894654195455,0.027661279696738372,0.04301952107057941,0.06242581593311479,0.0013039928454922078,0.12455332184935453
magnitude,0.25,power_design-aa090817234f,power_design,pooled,100,100,100,0.04885282214572979,0.028602420545569447,0.028895957250346507,0.045346275695582444,0.06615206014414532,0.0027278263556371196,0.12770884755904288
magnitude,0.25,power_design-d23641d4daca,power_design,A,100,100,100,0.050548555406474786,0.029941855475205354,0.030787686644196996,0.046488996043839714,0.06811397499350717,0.0010243311234465202,0.13522046152176548
magnitude,0.25,power_design-d23641d4daca,power_design,B,100,100,100,0.04701920256902394,0.02738070234140994,0.027584864476119672,0.0428447320039026,0.06275675074434899,0.001654700073210169,0.12473475557961589
magnitude,0.25,power_design-d23641d4daca,power_design,pooled,100,100,100,0.048854460649806114,0.028605755789812337,0.02889260533907234,0.04534628009904268,0.0661768204762343,0.0027388751867912786,0.12771199049027582
magnitude,0.25,power_design-fe4faab1372f,power_design,A,100,100,100,0.05008506286678462,0.02954561885396286,0.030426322778727297,0.04653654496126991,0.06753635044669198,0.002322056632178937,0.1340929924592284
magnitude,0.25,power_design-fe4faab1372f,power_design,B,100,100,100,0.04685618465857643,0.027237243711012323,0.02792529470609066,0.043072078815759945,0.0622332303165998,0.0015760053967340815,0.12419776759287854
magnitude,0.25,power_design-fe4faab1372f,power_design,pooled,100,100,100,0.04884887725107436,0.028600391630384355,0.028891683974826915,0.04534167649130258,0.06614682238851811,0.0027234612596917507,0.12770226565216625
magnitude,0.25,power_primary-4f660197b632,power_primary,A,100,100,100,0.05377424406459744,0.03030975646339337,0.030893543475815133,0.0502958944337675,0.07259775016453691,0.004770288930617539,0.13783611646700433
magnitude,0.25,power_primary-4f660197b632,power_primary,B,100,100,100,0.04968683891751627,0.02708493017334081,0.02972057087274131,0.04707444351533077,0.06714014217903007,0.0038228075207799583,0.12393654256966308
magnitude,0.25,power_primary-4f660197b632,power_primary,pooled,100,100,100,0.05146746758051285,0.028537247225441823,0.030198345106718413,0.047708750269215755,0.06904488389903275,0.00505823618803436,0.12955731843028395
magnitude,0.5,power_design-5f1b7bd7fa37,power_design,A,100,100,100,0.051550454043794935,0.030258269809935897,0.030692008368815013,0.04763458757504499,0.07078991501351255,0.0051231210103653835,0.1379864991654382
magnitude,0.5,power_design-5f1b7bd7fa37,power_design,B,100,100,100,0.045699356864448426,0.026561178230331314,0.027253640057596687,0.04118101375504277,0.06033421627098047,0.002555313592207231,0.12066953920594636
magnitude,0.5,power_design-5f1b7bd7fa37,power_design,pooled,100,100,100,0.048690287036319745,0.0284237324579108,0.029391890615036373,0.044292309968977234,0.06611878722412941,0.0027122590281868364,0.12658580365579886
magnitude,0.5,power_design-b5dadb2c360f,power_design,A,100,100,100,0.052297932949274956,0.0308699681826931,0.03331673532891742,0.047291317902996344,0.0703134368599859,0.0011970917646038082,0.14058467735914082
magnitude,0.5,power_design-b5dadb2c360f,power_design,B,100,100,100,0.04585258240210068,0.026510897730524743,0.02718678972321266,0.04109052537645266,0.06034981058215977,0.0023991059541258464,0.12077077538489456
magnitude,0.5,power_design-b5dadb2c360f,power_design,pooled,100,100,100,0.04871861164209223,0.028435275408490543,0.029448254873455565,0.04433840780068901,0.06612862952080209,0.0027130833508673957,0.12670174265748163
magnitude,0.5,power_design-c204fb29ffb0,power_design,A,100,100,100,0.05385888366937463,0.031133091662050187,0.031955338449328616,0.05134391595493307,0.0691495959015892,0.005698337475463,0.14292479917070333
magnitude,0.5,power_design-c204fb29ffb0,power_design,B,100,100,100,0.047034800020036176,0.026341998315632,0.028624397451978825,0.04377483069474242,0.06192916951214458,0.005368085976261205,0.12091619586562491
magnitude,0.5,power_design-c204fb29ffb0,power_design,pooled,100,100,100,0.04976481279285089,0.02836716758150934,0.029408697598116873,0.047282331920987436,0.06619510518593871,0.004203787638154488,0.1281793088443996
magnitude,0.5,power_design-e9500d3fb5e1,power_design,A,100,100,100,0.05008511298121949,0.029539039688379138,0.03038133698559986,0.045955912549659694,0.06830920378346599,0.002854391534378442,0.12999825981389118
magnitude,0.5,power_design-e9500d3fb5e1,power_design,B,100,100,100,0.04536646483049751,0.026205229936422908,0.026281644377474322,0.040858981996793664,0.05905776883771359,0.004695713580454397,0.11722803279526939
magnitude,0.5,power_design-e9500d3fb5e1,power_design,pooled,100,100,100,0.04867628828142458,0.028412068746666155,0.02938064105578722,0.044295977784460955,0.06609633903348326,0.002702745558079811,0.126540558400209
magnitude,0.5,power_design-ee9b0a7f0cfb,power_design,A,100,100,100,0.05064012044750868,0.02920993604491155,0.03056448907240475,0.045420281325438155,0.06950150272068065,0.004768232193486599,0.13266305719487692
magnitude,0.5,power_design-ee9b0a7f0cfb,power_design,B,100,100,100,0.04564775162708029,0.026201665977481792,0.02661308104564629,0.04148947491869248,0.059453601256904076,0.005407493460023449,0.12205682979823557
magnitude,0.5,power_design-ee9b0a7f0cfb,power_design,pooled,100,100,100,0.048682267023187856,0.028411653274655422,0.029380533261559746,0.044268845515675614,0.06610578395237621,0.002678916541429377,0.12660544603152923
