evaluation.integration_params.forced_components,phase,is_baseline,trajectory_mode,effect_size,statistic,n_cells,n_replicates,n_available,n_rejected,rejection_rate,monte_carlo_se,n_eigengap_available,mean_eigengap,q33_eigengap,median_eigengap,q67_eigengap,n_angle_null_available,median_angle_null_q95,iqr_angle_null_q95,sd_angle_null_q95,n_selected_lv_available,median_selected_lv,min_selected_lv,max_selected_lv,component_selection
3.0,power_design,False,magnitude,0.25,delta,1,100,100,100,1.0,0.0,100,0.05002895588026396,0.037280903530413134,0.04749282375638647,0.05633183739949088,100,6.599439835373258,5.677690227020642,46.28433976918009,100,3.0,3,3,forced
3.0,power_design,False,magnitude,0.25,angle,1,100,100,10,0.1,0.030000000000000002,100,0.05002895588026396,0.037280903530413134,0.04749282375638647,0.05633183739949088,100,6.599439835373258,5.677690227020642,46.28433976918009,100,3.0,3,3,forced
3.0,power_design,False,magnitude,0.25,shape,1,100,100,31,0.31,0.04624932431938871,100,0.05002895588026396,0.037280903530413134,0.04749282375638647,0.05633183739949088,100,6.599439835373258,5.677690227020642,46.28433976918009,100,3.0,3,3,forced
3.0,power_design,False,magnitude,0.5,delta,1,100,100,100,1.0,0.0,100,0.04976481279285089,0.03666997217483292,0.047282331920987436,0.05646421219945541,100,8.182945031575079,7.800651911612576,50.7929626006682,100,3.0,3,3,forced
3.0,power_design,False,magnitude,0.5,angle,1,100,100,17,0.17,0.0375632799419859,100,0.04976481279285089,0.03666997217483292,0.047282331920987436,0.05646421219945541,100,8.182945031575079,7.800651911612576,50.7929626006682,100,3.0,3,3,forced
3.0,power_design,False,magnitude,0.5,shape,1,100,100,59,0.59,0.04918333050943175,100,0.04976481279285089,0.03666997217483292,0.047282331920987436,0.05646421219945541,100,8.182945031575079,7.800651911612576,50.7929626006682,100,3.0,3,3,forced
3.0,power_design,False,magnitude,1.0,delta,1,100,100,100,1.0,0.0,100,0.049659394253656564,0.035923906798013494,0.04710292920433978,0.056464480633286074,100,11.731295892288372,13.07294800770172,55.42286594014627,100,3.0,3,3,forced
3.0,power_design,False,magnitude,1.0,angle,1,100,100,24,0.24,0.04270831300812525,100,0.049659394253656564,0.035923906798013494,0.04710292920433978,0.056464480633286074,100,11.731295892288372,13.07294800770172,55.42286594014627,100,3.0,3,3,forced
3.0,power_design,False,magnitude,1.0,shape,1,100,100,77,0.77,0.042083250825001625,100,0.049659394253656564,0.035923906798013494,0.04710292920433978,0.056464480633286074,100,11.731295892288372,13.07294800770172,55.42286594014627,100,3.0,3,3,forced
3.0,power_design,False,none,0.0,delta,1,100,100,1,0.01,0.0099498743710662,100,0.0505579239903709,0.03753280479163906,0.047992719659651045,0.05599523872970208,100,6.034028375605868,4.876850035418195,43.18243536794025,100,3.0,3,3,forced
3.0,power_design,False,none,0.0,angle,1,100,100,2,0.02,0.014,100,0.0505579239903709,0.03753280479163906,0.047992719659651045,0.05599523872970208,100,6.034028375605868,4.876850035418195,43.18243536794025,100,3.0,3,3,forced
3.0,power_design,False,none,0.0,shape,1,100,100,3,0.03,0.01705872210923198,100,0.0505579239903709,0.03753280479163906,0.047992719659651045,0.05599523872970208,100,6.034028375605868,4.876850035418195,43.18243536794025,100,3.0,3,3,forced
3.0,power_design,False,orientation,0.25,delta,1,100,100,81,0.81,0.03923009049186606,100,0.049968642126731265,0.03120176452036766,0.04745862325556319,0.05636313143393212,100,7.626676166499327,6.313559306838824,47.777752235724584,100,3.0,3,3,forced
3.0,power_design,False,orientation,0.25,angle,1,100,100,89,0.89,0.031288975694324025,100,0.049968642126731265,0.03120176452036766,0.04745862325556319,0.05636313143393212,100,7.626676166499327,6.313559306838824,47.777752235724584,100,3.0,3,3,forced
3.0,power_design,False,orientation,0.25,shape,1,100,100,100,1.0,0.0,100,0.049968642126731265,0.03120176452036766,0.04745862325556319,0.05636313143393212,100,7.626676166499327,6.313559306838824,47.777752235724584,100,3.0,3,3,forced
3.0,power_design,False,orientation,0.5,delta,1,100,100,78,0.78,0.04142463035441595,100,0.05153684930293284,0.032003900238996186,0.04766599009995462,0.06177795039519779,100,8.298396113088257,12.227313965622905,50.076469309500574,100,3.0,3,3,forced
3.0,power_design,False,orientation,0.5,angle,1,100,100,89,0.89,0.031288975694324025,100,0.05153684930293284,0.032003900238996186,0.04766599009995462,0.06177795039519779,100,8.298396113088257,12.227313965622905,50.076469309500574,100,3.0,3,3,forced
3.0,power_design,False,orientation,0.5,shape,1,100,100,100,1.0,0.0,100,0.05153684930293284,0.032003900238996186,0.04766599009995462,0.06177795039519779,100,8.298396113088257,12.227313965622905,50.076469309500574,100,3.0,3,3,forced
3.0,power_design,False,orientation,1.0,delta,1,100,100,93,0.93,0.02551470164434614,100,0.05184297886494278,0.03612698799497899,0.04545577881735488,0.06202192030710091,100,10.200564444794072,10.826485724135742,48.26793382431465,100,3.0,3,3,forced
3.0,power_design,False,orientation,1.0,angle,1,100,100,86,0.86,0.03469870314579494,100,0.05184297886494278,0.03612698799497899,0.04545577881735488,0.06202192030710091,100,10.200564444794072,10.826485724135742,48.26793382431465,100,3.0,3,3,forced
3.0,power_design,False,orientation,1.0,shape,1,100,100,99,0.99,0.009949874371066205,100,0.05184297886494278,0.03612698799497899,0.04545577881735488,0.06202192030710091,100,10.200564444794072,10.826485724135742,48.26793382431465,100,3.0,3,3,forced
3.0,power_design,False,shape,0.25,delta,1,100,100,80,0.8,0.04,100,0.05124979866438485,0.032740103698154,0.04631970642376021,0.06097316451864887,100,5.852880539787125,6.226246712506503,31.259975403150758,100,3.0,3,3,forced
3.0,power_design,False,shape,0.25,angle,1,100,100,74,0.74,0.04386342439892262,100,0.05124979866438485,0.032740103698154,0.04631970642376021,0.06097316451864887,100,5.852880539787125,6.226246712506503,31.259975403150758,100,3.0,3,3,forced
3.0,power_design,False,shape,0.25,shape,1,100,100,96,0.96,0.019595917942265433,100,0.05124979866438485,0.032740103698154,0.04631970642376021,0.06097316451864887,100,5.852880539787125,6.226246712506503,31.259975403150758,100,3.0,3,3,forced
3.0,power_design,False,shape,0.5,delta,1,100,100,88,0.88,0.03249615361854384,100,0.053711074922671305,0.03814641323176465,0.04780958039613101,0.0629338013792815,100,6.057217619618443,7.102371325131687,32.40277450011168,100,3.0,3,3,forced
3.0,power_design,False,shape,0.5,angle,1,100,100,76,0.76,0.04270831300812525,100,0.053711074922671305,0.03814641323176465,0.04780958039613101,0.0629338013792815,100,6.057217619618443,7.102371325131687,32.40277450011168,100,3.0,3,3,forced
