trajectory_mode,effect_size,cell_id,phase,statistic,stratum,n_strata,eigengap_low,eigengap_high,mean_eigengap,n_replicates,n_available,n_rejected,rejection_rate,monte_carlo_se,status
orientation,0.25,power_design-1c7c6cfddda7,power_design,angle,0,3,0.004929148812426287,0.03092112700086236,0.019779110406419404,34,34,25,0.7352941176470589,0.07566114050404801,ok
orientation,0.25,power_design-1c7c6cfddda7,power_design,angle,1,3,0.031128118022133666,0.05788020630316015,0.04429600704820522,33,33,30,0.9090909090909091,0.05004380750574367,ok
orientation,0.25,power_design-1c7c6cfddda7,power_design,angle,2,3,0.05802956705284534,0.1475725592744659,0.08065260023364185,33,33,31,0.9393939393939394,0.04153602526317222,ok
orientation,0.25,power_design-1c7c6cfddda7,power_design,delta,0,3,0.004929148812426287,0.03092112700086236,0.019779110406419404,34,34,21,0.6176470588235294,0.08334181380283408,ok
orientation,0.25,power_design-1c7c6cfddda7,power_design,delta,1,3,0.031128118022133666,0.05788020630316015,0.04429600704820522,33,33,15,0.45454545454545453,0.08667841720414475,ok
orientation,0.25,power_design-1c7c6cfddda7,power_design,delta,2,3,0.05802956705284534,0.1475725592744659,0.08065260023364185,33,33,25,0.7575757575757576,0.07460090362383802,ok
orientation,0.25,power_design-1c7c6cfddda7,power_design,shape,0,3,0.004929148812426287,0.03092112700086236,0.019779110406419404,34,34,33,0.9705882352941176,0.028976010768934652,ok
orientation,0.25,power_design-1c7c6cfddda7,power_design,shape,1,3,0.031128118022133666,0.05788020630316015,0.04429600704820522,33,33,33,1.0,0.0,ok
orientation,0.25,power_design-1c7c6cfddda7,power_design,shape,2,3,0.05802956705284534,0.1475725592744659,0.08065260023364185,33,33,32,0.9696969696969697,0.029840361449535197,ok
orientation,0.25,power_design-456e9597089a,power_design,angle,0,3,0.004907972072774658,0.030907237048511005,0.019773545704001746,34,34,25,0.7352941176470589,0.07566114050404801,ok
orientation,0.25,power_design-456e9597089a,power_design,angle,1,3,0.031134100620227367,0.05793117619448296,0.044305196339298504,33,33,30,0.9090909090909091,0.05004380750574367,ok
orientation,0.25,power_design-456e9597089a,power_design,angle,2,3,0.058064234699280015,0.14757930611933517,0.08063868594646653,33,33,31,0.9393939393939394,0.04153602526317222,ok
orientation,0.25,power_design-456e9597089a,power_design,delta,0,3,0.004907972072774658,0.030907237048511005,0.019773545704001746,34,34,19,0.5588235294117647,0.08515380416833712,ok
orientation,0.25,power_design-456e9597089a,power_design,delta,1,3,0.031134100620227367,0.05793117619448296,0.044305196339298504,33,33,14,0.42424242424242425,0.08603395906609154,ok
orientation,0.25,power_design-456e9597089a,power_design,delta,2,3,0.058064234699280015,0.14757930611933517,0.08063868594646653,33,33,24,0.7272727272727273,0.07752753322022198,ok
orientation,0.25,power_design-456e9597089a,power_design,shape,0,3,0.004907972072774658,0.030907237048511005,0.019773545704001746,34,34,33,0.9705882352941176,0.028976010768934652,ok
orientation,0.25,power_design-456e9597089a,power_design,shape,1,3,0.031134100620227367,0.05793117619448296,0.044305196339298504,33,33,33,1.0,0.0,ok
orientation,0.25,power_design-456e9597089a,power_design,shape,2,3,0.058064234699280015,0.14757930611933517,0.08063868594646653,33,33,30,0.9090909090909091,0.05004380750574367,ok
orientation,0.25,power_design-ae9999769870,power_design,angle,0,3,0.004905128262420733,0.030908650379560254,0.0197714548932982,34,34,26,0.7647058823529411,0.07274669910598146,ok
orientation,0.25,power_design-ae9999769870,power_design,angle,1,3,0.03113298509496021,0.057921584429743156,0.044298185270127605,33,33,30,0.9090909090909091,0.05004380750574367,ok
orientation,0.25,power_design-ae9999769870,power_design,angle,2,3,0.05804567900315816,0.1475668144743586,0.08063099071718523,33,33,31,0.9393939393939394,0.04153602526317222,ok
orientation,0.25,power_design-ae9999769870,power_design,delta,0,3,0.004905128262420733,0.030908650379560254,0.0197714548932982,34,34,19,0.5588235294117647,0.08515380416833712,ok
orientation,0.25,power_design-ae9999769870,power_design,delta,1,3,0.03113298509496021,0.057921584429743156,0.044298185270127605,33,33,14,0.42424242424242425,0.08603395906609154,ok
orientation,0.25,power_design-ae9999769870,power_design,delta,2,3,0.05804567900315816,0.1475668144743586,0.08063099071718523,33,33,24,0.7272727272727273,0.07752753322022198,ok
orientation,0.25,power_design-ae9999769870,power_design,shape,0,3,0.004905128262420733,0.030908650379560254,0.0197714548932982,34,34,33,0.9705882352941176,0.028976010768934652,ok
orientation,0.25,power_design-ae9999769870,power_design,shape,1,3,0.03113298509496021,0.057921584429743156,0.044298185270127605,33,33,33,1.0,0.0,ok
orientation,0.25,power_design-ae9999769870,power_design,shape,2,3,0.05804567900315816,0.1475668144743586,0.08063099071718523,33,33,30,0.9090909090909091,0.05004380750574367,ok
orientation,0.25,power_design-d9a8cd333a53,power_design,angle,0,3,0.005967588850875283,0.03120176452036766,0.02169669765746478,34,34,25,0.7352941176470589,0.07566114050404801,ok
orientation,0.25,power_design-d9a8cd333a53,power_design,angle,1,3,0.03166439492509471,0.05636313143393212,0.045986268183011866,33,33,32,0.9696969696969697,0.029840361449535197,ok
orientation,0.25,power_design-d9a8cd333a53,power_design,angle,2,3,0.05693534018473134,0.1508906141252802,0.0830796861296949,33,33,32,0.9696969696969697,0.029840361449535197,ok
orientation,0.25,power_design-d9a8cd333a53,power_design,delta,0,3,0.005967588850875283,0.03120176452036766,0.02169669765746478,34,34,27,0.7941176470588235,0.06934458070529786,ok
orientation,0.25,power_design-d9a8cd333a53,power_design,delta,1,3,0.03166439492509471,0.05636313143393212,0.045986268183011866,33,33,26,0.7878787878787878,0.07116472642790657,ok
orientation,0.25,power_design-d9a8cd333a53,power_design,delta,2,3,0.05693534018473134,0.1508906141252802,0.0830796861296949,33,33,28,0.8484848484848485,0.06241559400538633,ok
orientation,0.25,power_design-d9a8cd333a53,power_design,shape,0,3,0.005967588850875283,0.03120176452036766,0.02169669765746478,34,34,34,1.0,0.0,ok
orientation,0.25,power_design-d9a8cd333a53,power_design,shape,1,3,0.03166439492509471,0.05636313143393212,0.045986268183011866,33,33,33,1.0,0.0,ok
orientation,0.25,power_design-d9a8cd333a53,power_design,shape,2,3,0.05693534018473134,0.1508906141252802,0.0830796861296949,33,33,33,1.0,0.0,ok
orientation,0.25,power_design-da3c14e14e07,power_design,angle,0,3,0.004864641737790332,0.031001106297301906,0.019856476197618683,34,34,22,0.6470588235294118,0.08195653482579246,ok
orientation,0.25,power_design-da3c14e14e07,power_design,angle,1,3,0.031331687786328555,0.05806350802682636,0.04436198928762832,33,33,28,0.8484848484848485,0.06241559400538633,ok
orientation,0.25,power_design-da3c14e14e07,power_design,angle,2,3,0.058274850518315824,0.14764728716401437,0.08075984437251658,33,33,25,0.7575757575757576,0.07460090362383802,ok
orientation,0.25,power_design-da3c14e14e07,power_design,delta,0,3,0.004864641737790332,0.031001106297301906,0.019856476197618683,34,34,22,0.6470588235294118,0.08195653482579246,ok
orientation,0.25,power_design-da3c14e14e07,power_design,delta,1,3,0.031331687786328555,0.05806350802682636,0.04436198928762832,33,33,20,0.6060606060606061,0.08505811700208933,ok
orientation,0.25,power_design-da3c14e14e07,power_design,delta,2,3,0.058274850518315824,0.14764728716401437,0.08075984437251658,33,33,26,0.7878787878787878,0.07116472642790657,ok
orientation,0.25,power_design-da3c14e14e07,power_design,shape,0,3,0.004864641737790332,0.031001106297301906,0.019856476197618683,34,34,34,1.0,0.0,ok
orientation,0.25,power_design-da3c14e14e07,power_design,shape,1,3,0.031331687786328555,0.05806350802682636,0.04436198928762832,33,33,33,1.0,0.0,ok
orientation,0.25,power_design-da3c14e14e07,power_design,shape,2,3,0.058274850518315824,0.14764728716401437,0.08075984437251658,33,33,33,1.0,0.0,ok
orientation,0.25,power_primary-de9b49f334e4,power_primary,angle,0,3,0.005967588850875283,0.031201764520368602,0.021696697657464802,34,34,25,0.7352941176470589,0.07566114050404801,ok
orientation,0.25,power_primary-de9b49f334e4,power_primary,angle,1,3,0.03166439492509471,0.05693534018473134,0.046775765208428646,33,33,32,0.9696969696969697,0.029840361449535197,ok
orientation,0.25,power_primary-de9b49f334e4,power_primary,angle,2,3,0.060053704945742414,0.15089061412528004,0.08324666623160772,33,33,32,0.9696969696969697,0.029840361449535197,ok
orientation,0.25,power_primary-de9b49f334e4,power_primary,delta,0,3,0.005967588850875283,0.031201764520368602,0.021696697657464802,34,34,27,0.7941176470588235,0.06934458070529786,ok
orientation,0.25,power_primary-de9b49f334e4,power_primary,delta,1,3,0.03166439492509471,0.05693534018473134,0.046775765208428646,33,33,26,0.7878787878787878,0.07116472642790657,ok
orientation,0.25,power_primary-de9b49f334e4,power_primary,delta,2,3,0.060053704945742414,0.15089061412528004,0.08324666623160772,33,33,27,0.8181818181818182,0.06714081326145421,ok
orientation,0.25,power_primary-de9b49f334e4,power_primary,shape,0,3,0.005967588850875283,0.031201764520368602,0.021696697657464802,34,34,34,1.0,0.0,ok
orientation,0.25,power_primary-de9b49f334e4,power_primary,shape,1,3,0.03166439492509471,0.05693534018473134,0.046775765208428646,33,33,33,1.0,0.0,ok
orientation,0.25,power_primary-de9b49f334e4,power_primary,shape,2,3,0.060053704945742414,0.15089061412528004,0.08324666623160772,33,33,33,1.0,0.0,ok
orientation,0.5,power_design-32b384ac48ed,power_design,angle,0,3,0.0020617421617124543,0.03633198150621586,0.02040335625802802,34,34,22,0.6470588235294118,0.08195653482579246,ok
orientation,0.5,power_design-32b384ac48ed,power_design,angle,1,3,0.03701648537776414,0.05805323518825106,0.04695677127466073,33,33,28,0.8484848484848485,0.06241559400538633,ok
orientation,0.5,power_design-32b384ac48ed,power_design,angle,2,3,0.0596794062510157,0.14594938701086735,0.08668306906835496,33,33,31,0.9393939393939394,0.04153602526317222,ok
orientation,0.5,power_design-32b384ac48ed,power_design,delta,0,3,0.0020617421617124543,0.03633198150621586,0.02040335625802802,34,34,23,0.6764705882352942,0.08023094083513455,ok
orientation,0.5,power_design-32b384ac48ed,power_design,delta,1,3,0.03701648537776414,0.05805323518825106,0.04695677127466073,33,33,22,0.6666666666666666,0.08206099398622183,ok
orientation,0.5,power_design-32b384ac48ed,power_design,delta,2,3,0.0596794062510157,0.14594938701086735,0.08668306906835496,33,33,22,0.6666666666666666,0.08206099398622183,ok
orientation,0.5,power_design-32b384ac48ed,power_design,shape,0,3,0.0020617421617124543,0.03633198150621586,0.02040335625802802,34,34,32,0.9411764705882353,0.04035260826882561,ok
orientation,0.5,power_design-32b384ac48ed,power_design,shape,1,3,0.03701648537776414,0.05805323518825106,0.04695677127466073,33,33,32,0.9696969696969697,0.029840361449535197,ok
orientation,0.5,power_design-32b384ac48ed,power_design,shape,2,3,0.0596794062510157,0.14594938701086735,0.08668306906835496,33,33,30,0.9090909090909091,0.05004380750574367,ok
orientation,0.5,power_design-512362b8e6aa,power_design,angle,0,3,0.0007038749222572638,0.03660224073020013,0.020564556389909623,34,34,23,0.6764705882352942,0.08023094083513455,ok
orientation,0.5,power_design-512362b8e6aa,power_design,angle,1,3,0.03689927438241619,0.05943494349519168,0.04718473694689771,33,33,26,0.7878787878787878,0.07116472642790657,ok
orientation,0.5,power_design-512362b8e6aa,power_design,angle,2,3,0.06027485108741115,0.14603219749300506,0.08705570204367337,33,33,27,0.8181818181818182,0.06714081326145421,ok
orientation,0.5,power_design-512362b8e6aa,power_design,delta,0,3,0.0007038749222572638,0.03660224073020013,0.020564556389909623,34,34,30,0.8823529411764706,0.055255084507513194,ok
orientation,0.5,power_design-512362b8e6aa,power_design,delta,1,3,0.03689927438241619,0.05943494349519168,0.04718473694689771,33,33,25,0.7575757575757576,0.07460090362383802,ok
orientation,0.5,power_design-512362b8e6aa,power_design,delta,2,3,0.06027485108741115,0.14603219749300506,0.08705570204367337,33,33,24,0.7272727272727273,0.07752753322022198,ok
orientation,0.5,power_design-512362b8e6aa,power_design,shape,0,3,0.0007038749222572638,0.03660224073020013,0.020564556389909623,34,34,34,1.0,0.0,ok
orientation,0.5,power_design-512362b8e6aa,power_design,shape,1,3,0.03689927438241619,0.05943494349519168,0.04718473694689771,33,33,32,0.9696969696969697,0.029840361449535197,ok
orientation,0.5,power_design-512362b8e6aa,power_design,shape,2,3,0.06027485108741115,0.14603219749300506,0.08705570204367337,33,33,33,1.0,0.0,ok
orientation,0.5,power_design-817a1c1ca05a,power_design,angle,0,3,0.0021205449307922786,0.03628797184120014,0.020402133304474324,34,34,24,0.7058823529411765,0.07814248990059665,ok
orientation,0.5,power_design-817a1c1ca05a,power_design,angle,1,3,0.03690938857012621,0.058027782899232716,0.046946007097561186,33,33,28,0.8484848484848485,0.06241559400538633,ok
orientation,0.5,power_design-817a1c1ca05a,power_design,angle,2,3,0.05964348870598207,0.14587999388590833,0.08665401148278729,33,33,31,0.9393939393939394,0.04153602526317222,ok
orientation,0.5,power_design-817a1c1ca05a,power_design,delta,0,3,0.0021205449307922786,0.03628797184120014,0.020402133304474324,34,34,23,0.6764705882352942,0.08023094083513455,ok
orientation,0.5,power_design-817a1c1ca05a,power_design,delta,1,3,0.03690938857012621,0.058027782899232716,0.046946007097561186,33,33,22,0.6666666666666666,0.08206099398622183,ok
orientation,0.5,power_design-817a1c1ca05a,power_design,delta,2,3,0.05964348870598207,0.14587999388590833,0.08665401148278729,33,33,20,0.6060606060606061,0.08505811700208933,ok
orientation,0.5,power_design-817a1c1ca05a,power_design,shape,0,3,0.0021205449307922786,0.03628797184120014,0.020402133304474324,34,34,31,0.9117647058823529,0.04864330767996384,ok
orientation,0.5,power_design-817a1c1ca05a,power_design,shape,1,3,0.03690938857012621,0.058027782899232716,0.046946007097561186,33,33,30,0.9090909090909091,0.05004380750574367,ok
orientation,0.5,power_design-817a1c1ca05a,power_design,shape,2,3,0.05964348870598207,0.14587999388590833,0.08665401148278729,33,33,28,0.8484848484848485,0.06241559400538633,ok
orientation,0.5,power_design-96aa7435fdd0,power_design,angle,0,3,0.0021140348755898652,0.036269894281556525,0.02040237587817179,34,34,23,0.6764705882352942,0.08023094083513455,ok
orientation,0.5,power_design-96aa7435fdd0,power_design,angle,1,3,0.03693827970520225,0.05803195983618814,0.04695078862700947,33,33,28,0.8484848484848485,0.06241559400538633,ok
