trajectory_mode,statistic,effect_size,cell_id,phase,rejection_rate,monte_carlo_se,available_replicates,completed_replicates,censored_fraction,duplicate_construction
magnitude,angle,0.25,power_primary-4f660197b632,power_primary,0.1,0.030000000000000002,100,100,,False
magnitude,angle,0.5,power_primary-84509308990e,power_primary,0.16,0.03666060555964672,100,100,,False
magnitude,angle,1.0,power_primary-41c6cde5d41f,power_primary,0.24,0.04270831300812525,100,100,,False
magnitude,delta,0.25,power_primary-4f660197b632,power_primary,1.0,0.0,100,100,,False
magnitude,delta,0.5,power_primary-84509308990e,power_primary,1.0,0.0,100,100,,False
magnitude,delta,1.0,power_primary-41c6cde5d41f,power_primary,1.0,0.0,100,100,,False
magnitude,shape,0.25,power_primary-4f660197b632,power_primary,0.31,0.04624932431938871,100,100,,False
magnitude,shape,0.5,power_primary-84509308990e,power_primary,0.56,0.04963869458396342,100,100,,False
magnitude,shape,1.0,power_primary-41c6cde5d41f,power_primary,0.74,0.04386342439892262,100,100,,False
none,angle,0.0,power_primary-55dc620ae48b,power_primary,0.02,0.014,100,100,,False
none,delta,0.0,power_primary-55dc620ae48b,power_primary,0.01,0.0099498743710662,100,100,,False
none,shape,0.0,power_primary-55dc620ae48b,power_primary,0.03,0.01705872210923198,100,100,,False
orientation,angle,0.25,power_primary-de9b49f334e4,power_primary,0.89,0.031288975694324025,100,100,0.0,False
orientation,angle,0.5,power_primary-9137126e9f41,power_primary,0.89,0.031288975694324025,100,100,0.0,False
orientation,angle,1.0,power_primary-6e6b59236130,power_primary,0.85,0.035707142142714254,100,100,0.0,False
orientation,delta,0.25,power_primary-de9b49f334e4,power_primary,0.8,0.04,100,100,0.0,False
orientation,delta,0.5,power_primary-9137126e9f41,power_primary,0.77,0.042083250825001625,100,100,0.0,False
orientation,delta,1.0,power_primary-6e6b59236130,power_primary,0.91,0.028618176042508364,100,100,0.0,False
orientation,shape,0.25,power_primary-de9b49f334e4,power_primary,1.0,0.0,100,100,0.0,False
orientation,shape,0.5,power_primary-9137126e9f41,power_primary,1.0,0.0,100,100,0.0,False
orientation,shape,1.0,power_primary-6e6b59236130,power_primary,0.99,0.009949874371066205,100,100,0.0,False
shape,angle,0.25,power_primary-0ff8d6ffedfa,power_primary,0.73,0.044395945760846225,100,100,0.0,False
shape,angle,0.5,power_primary-c7f4c985feeb,power_primary,0.76,0.04270831300812525,100,100,0.0,False
shape,angle,1.0,power_primary-fcd427854ae4,power_primary,0.79,0.0407308237088326,100,100,0.0,False
shape,delta,0.25,power_primary-0ff8d6ffedfa,power_primary,0.79,0.0407308237088326,100,100,0.0,False
shape,delta,0.5,power_primary-c7f4c985feeb,power_primary,0.88,0.03249615361854384,100,100,0.0,False
shape,delta,1.0,power_primary-fcd427854ae4,power_primary,0.89,0.031288975694324025,100,100,0.0,False
shape,shape,0.25,power_primary-0ff8d6ffedfa,power_primary,0.95,0.021794494717703377,100,100,0.0,False
shape,shape,0.5,power_primary-c7f4c985feeb,power_primary,0.97,0.017058722109231986,100,100,0.0,False
shape,shape,1.0,power_primary-fcd427854ae4,power_primary,1.0,0.0,100,100,0.0,False
translation,angle,0.25,power_primary-7eb60810c5e0,power_primary,0.09,0.02861817604250837,100,100,0.0,False
translation,angle,0.5,power_primary-24a8e346c7e6,power_primary,0.05,0.021794494717703367,100,100,0.0,False
translation,angle,1.0,power_primary-cc3d56bf2fea,power_primary,0.02,0.014,100,100,0.0,False
translation,angle,1.0,type_i_baseline-08d5fad9e2b2,type_i_baseline,0.07,0.02551470164434615,100,100,0.0,False
translation,delta,0.25,power_primary-7eb60810c5e0,power_primary,0.01,0.0099498743710662,100,100,0.0,False
translation,delta,0.5,power_primary-24a8e346c7e6,power_primary,0.03,0.01705872210923198,100,100,0.0,False
translation,delta,1.0,power_primary-cc3d56bf2fea,power_primary,0.05,0.021794494717703367,100,100,0.0,False
translation,delta,1.0,type_i_baseline-08d5fad9e2b2,type_i_baseline,0.08,0.027129319932501072,100,100,0.0,False
translation,shape,0.25,power_primary-7eb60810c5e0,power_primary,0.07,0.02551470164434615,100,100,0.0,False
translation,shape,0.5,power_primary-24a8e346c7e6,power_primary,0.01,0.0099498743710662,100,100,0.0,False
translation,shape,1.0,power_primary-cc3d56bf2fea,power_primary,0.04,0.019595917942265423,100,100,0.0,False
translation,shape,1.0,type_i_baseline-08d5fad9e2b2,type_i_baseline,0.09,0.02861817604250837,100,100,0.0,False
