cell_id,phase,trajectory_mode,effect_size,completed_replicates,nominal_size,realized_mean,realized_min,realized_max,censored_replicates,censored_fraction,duplicate_of,duplicate_construction
power_design-15c62bec7509,power_design,magnitude,0.25,100,,,,,,,,False
power_design-18cf4e61c373,power_design,magnitude,0.25,100,,,,,,,,False
power_design-aa090817234f,power_design,magnitude,0.25,100,,,,,,,,False
power_design-d23641d4daca,power_design,magnitude,0.25,100,,,,,,,,False
power_design-fe4faab1372f,power_design,magnitude,0.25,100,,,,,,,,False
power_primary-4f660197b632,power_primary,magnitude,0.25,100,,,,,,,,False
power_design-5f1b7bd7fa37,power_design,magnitude,0.5,100,,,,,,,,False
power_design-b5dadb2c360f,power_design,magnitude,0.5,100,,,,,,,,False
power_design-c204fb29ffb0,power_design,magnitude,0.5,100,,,,,,,,False
power_design-e9500d3fb5e1,power_design,magnitude,0.5,100,,,,,,,,False
power_design-ee9b0a7f0cfb,power_design,magnitude,0.5,100,,,,,,,,False
power_primary-84509308990e,power_primary,magnitude,0.5,100,,,,,,,,False
power_design-34f9491adbba,power_design,magnitude,1.0,100,,,,,,,,False
power_design-5dd41dfc5f1f,power_design,magnitude,1.0,100,,,,,,,,False
power_design-a48e18be7507,power_design,magnitude,1.0,100,,,,,,,,False
power_design-ad3ab4e34ee6,power_design,magnitude,1.0,100,,,,,,,,False
power_design-bfbc0b17359a,power_design,magnitude,1.0,100,,,,,,,,False
power_primary-41c6cde5d41f,power_primary,magnitude,1.0,100,,,,,,,,False
power_design-7c20e3ab5743,power_design,none,0.0,100,,,,,,,,False
power_design-7ea649f81742,power_design,none,0.0,100,,,,,,,,False
power_design-bce28a241315,power_design,none,0.0,100,,,,,,,,False
power_design-cbbcefaa8202,power_design,none,0.0,100,,,,,,,,False
power_design-f48ce1d99e6e,power_design,none,0.0,100,,,,,,,,False
power_primary-55dc620ae48b,power_primary,none,0.0,100,,,,,,,,False
type_i_baseline-253f1c4ad4c0,type_i_baseline,none,,100,,,,,,,,False
power_design-1c7c6cfddda7,power_design,orientation,0.25,100,31.54,31.54,25.0,36.0,0.0,0.0,,False
power_design-456e9597089a,power_design,orientation,0.25,100,31.54,31.54,25.0,36.0,0.0,0.0,,False
power_design-ae9999769870,power_design,orientation,0.25,100,31.54,31.54,25.0,36.0,0.0,0.0,,False
power_design-d9a8cd333a53,power_design,orientation,0.25,100,31.54,31.54,25.0,36.0,0.0,0.0,,False
power_design-da3c14e14e07,power_design,orientation,0.25,100,31.54,31.54,25.0,36.0,0.0,0.0,,False
power_primary-de9b49f334e4,power_primary,orientation,0.25,100,31.54,31.54,25.0,36.0,0.0,0.0,,False
power_design-32b384ac48ed,power_design,orientation,0.5,100,63.02,63.02,50.0,73.0,0.0,0.0,,False
power_design-512362b8e6aa,power_design,orientation,0.5,100,63.02,63.02,50.0,73.0,0.0,0.0,,False
power_design-817a1c1ca05a,power_design,orientation,0.5,100,63.02,63.02,50.0,73.0,0.0,0.0,,False
power_design-96aa7435fdd0,power_design,orientation,0.5,100,63.02,63.02,50.0,73.0,0.0,0.0,,False
power_design-ff0d1ac8d8a2,power_design,orientation,0.5,100,63.02,63.02,50.0,73.0,0.0,0.0,,False
power_primary-9137126e9f41,power_primary,orientation,0.5,100,63.02,63.02,50.0,73.0,0.0,0.0,,False
power_design-26bc8ff36ec4,power_design,orientation,1.0,100,126.1,126.1,100.0,146.0,0.0,0.0,,False
power_design-42a3d3f3d400,power_design,orientation,1.0,100,126.1,126.1,100.0,146.0,0.0,0.0,,False
power_design-5b1afa09d6e1,power_design,orientation,1.0,100,126.1,126.1,100.0,146.0,0.0,0.0,,False
power_design-6936169acc4b,power_design,orientation,1.0,100,126.1,126.1,100.0,146.0,0.0,0.0,,False
power_design-c43d8cfde0e3,power_design,orientation,1.0,100,126.1,126.1,100.0,146.0,0.0,0.0,,False
power_primary-6e6b59236130,power_primary,orientation,1.0,100,126.1,126.1,100.0,146.0,0.0,0.0,,False
power_design-42bc5060594f,power_design,shape,0.25,100,9.21,9.21,6.0,12.0,0.0,0.0,,False
power_design-4c970b036eb6,power_design,shape,0.25,100,9.21,9.21,6.0,12.0,0.0,0.0,,False
power_design-582611b23700,power_design,shape,0.25,100,9.21,9.21,6.0,12.0,0.0,0.0,,False
power_design-80efd7a1b07b,power_design,shape,0.25,100,9.21,9.21,6.0,12.0,0.0,0.0,,False
power_design-d0e67f574e10,power_design,shape,0.25,100,9.21,9.21,6.0,12.0,0.0,0.0,,False
power_primary-0ff8d6ffedfa,power_primary,shape,0.25,100,9.21,9.21,6.0,12.0,0.0,0.0,,False
power_design-3d83eaaa56ef,power_design,shape,0.5,100,18.44,18.44,12.0,24.0,0.0,0.0,,False
power_design-3f4a091669bf,power_design,shape,0.5,100,18.44,18.44,12.0,24.0,0.0,0.0,,False
power_design-49be91385b20,power_design,shape,0.5,100,18.44,18.44,12.0,24.0,0.0,0.0,,False
power_design-785e7d377283,power_design,shape,0.5,100,18.44,18.44,12.0,24.0,0.0,0.0,,False
power_design-9650d9f73d7a,power_design,shape,0.5,100,18.44,18.44,12.0,24.0,0.0,0.0,,False
power_primary-c7f4c985feeb,power_primary,shape,0.5,100,18.44,18.44,12.0,24.0,0.0,0.0,,False
power_design-2ae227e5507f,power_design,shape,1.0,100,36.83,36.83,24.0,48.0,0.0,0.0,,False
power_design-7f470acada32,power_design,shape,1.0,100,36.83,36.83,24.0,48.0,0.0,0.0,,False
power_design-a1c033dcbf82,power_design,shape,1.0,100,36.83,36.83,24.0,48.0,0.0,0.0,,False
power_design-ce2ff6cdd2e1,power_design,shape,1.0,100,36.83,36.83,24.0,48.0,0.0,0.0,,False
power_design-e635738bfdb8,power_design,shape,1.0,100,36.83,36.83,24.0,48.0,0.0,0.0,,False
power_primary-fcd427854ae4,power_primary,shape,1.0,100,36.83,36.83,24.0,48.0,0.0,0.0,,False
power_design-037664364c71,power_design,translation,0.25,100,9.0,9.0,9.0,9.0,0.0,0.0,,False
power_design-27de258daa30,power_design,translation,0.25,100,9.0,9.0,9.0,9.0,0.0,0.0,,False
power_design-4b53c5dfec45,power_design,translation,0.25,100,9.0,9.0,9.0,9.0,0.0,0.0,,False
power_design-910171413334,power_design,translation,0.25,100,9.0,9.0,9.0,9.0,0.0,0.0,,False
power_design-ebb363601e49,power_design,translation,0.25,100,9.0,9.0,9.0,9.0,0.0,0.0,,False
power_primary-7eb60810c5e0,power_primary,translation,0.25,100,9.0,9.0,9.0,9.0,0.0,0.0,,False
power_design-13a1dcab3781,power_design,translation,0.5,100,18.0,18.0,18.0,18.0,0.0,0.0,,False
power_design-8c20ed7a3260,power_design,translation,0.5,100,18.0,18.0,18.0,18.0,0.0,0.0,,False
power_design-aec17dc3cae7,power_design,translation,0.5,100,18.0,18.0,18.0,18.0,0.0,0.0,,False
power_design-db6e0b816292,power_design,translation,0.5,100,18.0,18.0,18.0,18.0,0.0,0.0,,False
power_design-f6e58cf4c18d,power_design,translation,0.5,100,18.0,18.0,18.0,18.0,0.0,0.0,,False
power_primary-24a8e346c7e6,power_primary,translation,0.5,100,18.0,18.0,18.0,18.0,0.0,0.0,,False
power_design-72c920490a25,power_design,translation,1.0,100,37.0,37.0,37.0,37.0,0.0,0.0,,False
power_design-7dcda14056bd,power_design,translation,1.0,100,37.0,37.0,37.0,37.0,0.0,0.0,,False
power_design-906be506c8a9,power_design,translation,1.0,100,37.0,37.0,37.0,37.0,0.0,0.0,,False
power_design-a16272e0385a,power_design,translation,1.0,100,37.0,37.0,37.0,37.0,0.0,0.0,,False
power_design-e3598fe6056c,power_design,translation,1.0,100,37.0,37.0,37.0,37.0,0.0,0.0,,False
power_primary-cc3d56bf2fea,power_primary,translation,1.0,100,37.0,37.0,37.0,37.0,0.0,0.0,,False
type_i_baseline-08d5fad9e2b2,type_i_baseline,translation,1.0,100,37.0,37.0,37.0,37.0,0.0,0.0,,False
