trajectory_mode,statistic,effect_size,cell_id,phase,rejection_rate,monte_carlo_se,available_replicates,completed_replicates
magnitude,angle,1.0,power_primary-41c6cde5d41f,power_primary,0.24,0.04270831300812525,100,100
magnitude,delta,1.0,power_primary-41c6cde5d41f,power_primary,1.0,0.0,100,100
magnitude,shape,1.0,power_primary-41c6cde5d41f,power_primary,0.74,0.04386342439892262,100,100
none,angle,0.0,power_primary-55dc620ae48b,power_primary,0.02,0.014,100,100
none,delta,0.0,power_primary-55dc620ae48b,power_primary,0.01,0.0099498743710662,100,100
none,shape,0.0,power_primary-55dc620ae48b,power_primary,0.03,0.01705872210923198,100,100
orientation,angle,1.0,power_primary-6e6b59236130,power_primary,0.85,0.035707142142714254,100,100
orientation,delta,1.0,power_primary-6e6b59236130,power_primary,0.91,0.028618176042508364,100,100
orientation,shape,1.0,power_primary-6e6b59236130,power_primary,0.99,0.009949874371066205,100,100
shape,angle,1.0,power_primary-fcd427854ae4,power_primary,0.79,0.0407308237088326,100,100
shape,delta,1.0,power_primary-fcd427854ae4,power_primary,0.89,0.031288975694324025,100,100
shape,shape,1.0,power_primary-fcd427854ae4,power_primary,1.0,0.0,100,100
translation,angle,1.0,power_primary-cc3d56bf2fea,power_primary,0.02,0.014,100,100
translation,delta,1.0,power_primary-cc3d56bf2fea,power_primary,0.05,0.021794494717703367,100,100
translation,shape,1.0,power_primary-cc3d56bf2fea,power_primary,0.04,0.019595917942265423,100,100
